method,method_variant,n_cells,n_positive,average_precision,average_precision_ci_low,average_precision_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,brier,brier_ci_low,brier_ci_high,ece,ece_ci_low,ece_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,f1,f1_ci_low,f1_ci_high,promotion_rate,promotion_rate_ci_low,promotion_rate_ci_high,defer_rate,defer_rate_ci_low,defer_rate_ci_high,false_promotion_control_rate,false_promotion_control_rate_ci_low,false_promotion_control_rate_ci_high,promotion_utility,promotion_utility_ci_low,promotion_utility_ci_high,shuffled_false_steer_rate,shuffled_false_steer_rate_ci_low,shuffled_false_steer_rate_ci_high,consumer,consumer_utility
support_gated_cnn_new,support_gated_cnn_new_width8,1003,25,0.5448352721598061,0.3481345894653688,0.7934498211729971,0.981676891615542,0.9709332777463707,0.9933582943337734,0.04520500542984962,0.036226551197257977,0.05487582227962466,0.06757233961986187,0.05478267631847769,0.07966597182466342,0.5357142857142857,0.3333333333333333,0.762087912087912,0.6,0.41165577342047927,0.7697916666666669,0.5660377358490566,0.3785775862068965,0.7276955602537,0.027916251246261216,0.019128696693588184,0.036938282181844605,0.9720837487537388,0.9630617178181554,0.9808713033064118,0.0,0.0,0.0,0.6779421872548407,0.43936796580805076,0.9486359390837283,0.0294811320754717,0.019628228610867778,0.040534714816441185,charge,0.648461055179369
traditional_support_scorecard,traditional_support_scorecard,1003,25,0.6426572912840427,0.4696517245951635,0.8441184089863779,0.8185889570552148,0.7309836483148123,0.9194170034218794,0.023623080831638214,0.01884502800859569,0.02766905404021341,0.02421769598590735,0.019361112605419378,0.02826252415621102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6366028672875659,0.46339590066718245,0.8381288721515456,0.0,0.0,0.0,charge,0.6366028672875659
cnn_1d,cnn_1d_width8,1003,25,0.13757165968886564,0.10271999003466391,0.2112499370423331,0.9011451942740286,0.862456739315844,0.9310832903336528,0.16553889484843498,0.15089924443419334,0.1793507370002711,0.27331544031018873,0.2505601068889595,0.2945129426267957,0.12727272727272726,0.0768867924528302,0.18869199388067315,0.56,0.36,0.7727272727272727,0.2074074074074074,0.12697853789403085,0.30165631469979304,0.10967098703888335,0.0937468874501992,0.1247536394010789,0.8903290129611167,0.8752463605989211,0.9062531125498008,0.0,0.0,0.0,0.20924279961131848,0.12569580082550802,0.3276933922104706,0.11320754716981132,0.09117741536940945,0.1330264782227709,charge,0.09603525244150715
mlp,mlp_hidden16,1003,25,0.10613116953450362,0.04396313965662434,0.2209691663601067,0.6840490797546013,0.5781366637070652,0.7786077361765436,0.06801186819763548,0.060330544552306,0.07534010444412396,0.1854850908171233,0.1651739447185861,0.20257135198858592,0.042483660130718956,0.022331518389151428,0.07052426876215424,0.52,0.31995454545454544,0.7142857142857143,0.0785498489425982,0.042329620605638704,0.128065306122449,0.3050847457627119,0.21904061076557257,0.4040368470149254,0.6949152542372881,0.5959631529850746,0.7809593892344274,0.26153846153846155,0.15901988636363637,0.3923076923076923,-0.3333170262467003,-0.5983876403280157,-0.06334241587206868,0.30542452830188677,0.21006132951555487,0.39257623192304336,charge,-0.638741554548587
gradient_boosted_trees,gradient_boosted_trees_learning_rate0.03,1003,25,0.9970370370370372,0.9847546583850931,1.0,0.999918200408998,0.9996092810083583,1.0,0.0014404311391631101,0.00024913351848559746,0.0031862058936484522,0.002797815477516502,0.0021753753399828065,0.0052915101257202165,1.0,1.0,1.0,0.84,0.692,0.9651785714285717,0.9130434782608696,0.8179653679653679,0.9822727272727274,0.020937188434695914,0.015763158915480392,0.025897706578874125,0.9790628115653041,0.9741022934211259,0.9842368410845196,0.0,0.0,0.0,1.206337583167658,1.1663059442553416,1.2407168154587462,0.0199764982373678,0.012802633893384785,0.026500307869764126,pid,1.1863610849302901
ridge,ridge_C3,1003,25,0.9024299665286192,0.7607994263492114,0.9999999999999998,0.998200408997955,0.9959337076534441,1.0,0.007953638016123601,0.004101947954549439,0.012409192503995125,0.018128416975162306,0.014012902518816999,0.022474761400407814,0.8823529411764706,0.7057352941176471,1.0,0.6,0.4074074074074074,0.8001923076923078,0.7142857142857143,0.5401849217638691,0.8571428571428571,0.01694915254237288,0.011585299052197975,0.022935815668572175,0.9830508474576272,0.9770641843314278,0.988414700947802,0.0,0.0,0.0,1.0478978622848287,0.8859483789416763,1.167386006119798,0.01527614571092832,0.00940715109573241,0.020982095278695514,pid,1.0326217165739004
support_gated_cnn_new,support_gated_cnn_new_width8,1003,25,0.5448352721598061,0.3481345894653688,0.7934498211729971,0.981676891615542,0.9709332777463707,0.9933582943337734,0.04520500542984962,0.036226551197257977,0.05487582227962466,0.06757233961986187,0.05478267631847769,0.07966597182466342,0.5357142857142857,0.3333333333333333,0.762087912087912,0.6,0.41165577342047927,0.7697916666666669,0.5660377358490566,0.3785775862068965,0.7276955602537,0.027916251246261216,0.019128696693588184,0.036938282181844605,0.9720837487537388,0.9630617178181554,0.9808713033064118,0.0,0.0,0.0,0.6779421872548407,0.43936796580805076,0.9486359390837283,0.02937720329024677,0.019647876442452892,0.03885859164420485,pid,0.6485649839645939
traditional_support_scorecard,traditional_support_scorecard,1003,25,0.6426572912840427,0.4696517245951635,0.8441184089863779,0.8185889570552148,0.7309836483148123,0.9194170034218794,0.023623080831638214,0.01884502800859569,0.02766905404021341,0.02421769598590735,0.019361112605419378,0.02826252415621102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6366028672875659,0.46339590066718245,0.8381288721515456,0.0,0.0,0.0,pid,0.6366028672875659
cnn_1d,cnn_1d_width8,1003,25,0.13757165968886564,0.10271999003466391,0.2112499370423331,0.9011451942740286,0.862456739315844,0.9310832903336528,0.16553889484843498,0.15089924443419334,0.1793507370002711,0.27331544031018873,0.2505601068889595,0.2945129426267957,0.12727272727272726,0.0768867924528302,0.18869199388067315,0.56,0.36,0.7727272727272727,0.2074074074074074,0.12697853789403085,0.30165631469979304,0.10967098703888335,0.0937468874501992,0.1247536394010789,0.8903290129611167,0.8752463605989211,0.9062531125498008,0.0,0.0,0.0,0.20924279961131848,0.12569580082550802,0.3276933922104706,0.1128084606345476,0.09457415055417065,0.1337477741812231,pid,0.09643433897677088
mlp,mlp_hidden16,1003,25,0.10613116953450362,0.04396313965662434,0.2209691663601067,0.6840490797546013,0.5781366637070652,0.7786077361765436,0.06801186819763548,0.060330544552306,0.07534010444412396,0.1854850908171233,0.1651739447185861,0.20257135198858592,0.042483660130718956,0.022331518389151428,0.07052426876215424,0.52,0.31995454545454544,0.7142857142857143,0.0785498489425982,0.042329620605638704,0.128065306122449,0.3050847457627119,0.21904061076557257,0.4040368470149254,0.6949152542372881,0.5959631529850746,0.7809593892344274,0.26153846153846155,0.15901988636363637,0.3923076923076923,-0.3333170262467003,-0.5983876403280157,-0.06334241587206868,0.30669800235017625,0.22518983114441535,0.39978189551104354,pid,-0.6400150285968765
