method,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive,detection_ap_ci_low,detection_ap_ci_high,detection_auc_ci_low,detection_auc_ci_high,time_bias_ns_ci_low,time_bias_ns_ci_high,time_sigma68_ns_ci_low,time_sigma68_ns_ci_high,late_tail_rate_abs_gt_15ns_ci_low,late_tail_rate_abs_gt_15ns_ci_high,pileup_miss_rate_ci_low,pileup_miss_rate_ci_high,false_split_rate_ci_low,false_split_rate_ci_high,energy_fractional_bias_ci_low,energy_fractional_bias_ci_high,energy_fractional_sigma68_ci_low,energy_fractional_sigma68_ci_high,leading_edge_time_bias_ns,leading_edge_time_sigma68_ns,secondary_pulse_delay_bias_ns,secondary_pulse_delay_sigma68_ns,shape_residual_proxy_median,saturation_interaction_energy_sigma68,pedestal_shift_false_split_rate,energy_proxy_distortion_sigma68,pid_confusion_stave_bias_span,false_merge_rate,tight_sep_le_15ns_false_merge_rate,mid_sep_15_35ns_false_merge_rate,loose_sep_gt_35ns_false_merge_rate,leading_edge_time_bias_ns_ci_low,leading_edge_time_bias_ns_ci_high,leading_edge_time_sigma68_ns_ci_low,leading_edge_time_sigma68_ns_ci_high,secondary_pulse_delay_bias_ns_ci_low,secondary_pulse_delay_bias_ns_ci_high,secondary_pulse_delay_sigma68_ns_ci_low,secondary_pulse_delay_sigma68_ns_ci_high,shape_residual_proxy_median_ci_low,shape_residual_proxy_median_ci_high,saturation_interaction_energy_sigma68_ci_low,saturation_interaction_energy_sigma68_ci_high,pedestal_shift_false_split_rate_ci_low,pedestal_shift_false_split_rate_ci_high,energy_proxy_distortion_sigma68_ci_low,energy_proxy_distortion_sigma68_ci_high,pid_confusion_stave_bias_span_ci_low,pid_confusion_stave_bias_span_ci_high,false_merge_rate_ci_low,false_merge_rate_ci_high,tight_sep_le_15ns_false_merge_rate_ci_low,tight_sep_le_15ns_false_merge_rate_ci_high,mid_sep_15_35ns_false_merge_rate_ci_low,mid_sep_15_35ns_false_merge_rate_ci_high,loose_sep_gt_35ns_false_merge_rate_ci_low,loose_sep_gt_35ns_false_merge_rate_ci_high,winner_score
template_residual_boosted_stack_new,0.8458202787249274,0.8229639889196675,0.21408934567679783,7.330748145584488,0.07608695652173914,0.2736842105263158,0.2236842105263158,-0.012977369311299287,0.06462344921510099,760,380,0.823458906277605,0.8636647180742868,0.8014355955678671,0.8478029778393352,-0.5610545428576108,0.7931258066235076,6.685302429950543,8.007004018465967,0.06293706293706294,0.09542199159447637,0.20776315789473684,0.31842105263157894,0.2,0.24210526315789474,-0.023655988370773207,-0.005428518311077841,0.0573112600090111,0.0764672568239278,0.7930792024005306,4.88894578630136,-0.29151872622312425,10.651309320358077,0.5790613410977419,0.039924669243342634,0.2236842105263158,0.06462344921510099,0.04495532151006847,0.2736842105263158,0.41916167664670656,0.19540229885057472,0.1349206349206349,-0.09485566303876425,1.2681467703043765,4.663644964144424,5.326236957683943,-2.6434121656423826,1.2346131650704173,9.813133511689013,11.473061069630823,0.5419749532683029,0.625476165034903,0.006405935247880134,0.04479877640958947,0.20519736842105263,0.23690789473684207,0.057353718547719514,0.076549495294031,0.03534744182952866,0.055617431301868095,0.2154605263157895,0.32118421052631574,0.3556596292992368,0.4970454545454545,0.0989010989010989,0.2717227095516569,0.06861074908459008,0.18983182589033346,1.8317630465241517
gradient_boosted_trees,0.8453244190635534,0.8361288088642659,0.2799017483135646,7.83213158103717,0.08865248226950355,0.2578947368421053,0.2236842105263158,-0.014384324858564303,0.06954007106413049,760,380,0.8243498648118877,0.869568993173096,0.8033372576177286,0.8659002770083104,-0.14546867985239673,0.8909497258882578,7.205059781551583,8.52346174677986,0.07092768410627606,0.10678687298014411,0.2025657894736842,0.3053947368421052,0.2025657894736842,0.24217105263157893,-0.02082565826000296,-0.0031330165177435917,0.05482366768803544,0.08199846529501134,0.2942047313837115,5.14393195862198,-0.05733363742718822,10.406510676122773,0.5881750933311581,0.05109469229863659,0.2236842105263158,0.06954007106413049,0.053590909775221414,0.2578947368421053,0.3652694610778443,0.21839080459770116,0.14285714285714285,-0.1373669216299156,1.5518060195719663,4.506574367460605,6.189882882673745,-0.9613644701624935,1.4977924241579466,9.625303511939538,10.754732722848537,0.5507514272452226,0.622023656524212,0.007518255557769804,0.055933776484216546,0.20526315789473684,0.24210526315789474,0.05481885009697414,0.08272143176194263,0.024014120044115666,0.06785411289484089,0.20236842105263156,0.30802631578947365,0.2988505747126437,0.4585987261146497,0.14106844242713806,0.2795928402832415,0.0852387715249423,0.22228682170542632,1.8663815194710551
ridge,0.8062667137922785,0.8168559556786704,0.736033117989896,9.707009063514082,0.12453531598513011,0.29210526315789476,0.21052631578947367,-0.012142604090288365,0.07450791736033308,760,380,0.7858593212559362,0.8323434854051411,0.795853185595568,0.8385249307479226,-0.6602661661025522,1.9602782134473262,8.850394816086624,10.009572715440045,0.1111060606060606,0.1426327808773657,0.23657894736842103,0.32901315789473684,0.17618421052631578,0.24749999999999994,-0.02109747213826409,-0.008164501905825563,0.0621591326648097,0.08160224385188175,1.5084022855294243,7.451481577109583,-3.3362626230932975,12.837528059210051,0.6682138290182209,0.04339494077893151,0.21052631578947367,0.07450791736033308,0.041121321078319256,0.29210526315789476,0.3712574850299401,0.3563218390804598,0.14285714285714285,-0.2899018030569952,3.5238339452017597,6.70192379809203,7.978839686159636,-4.817061034202492,-2.507325253842705,11.523457961158153,14.68458224015895,0.6367743722603474,0.7004519883118913,0.026090939550347168,0.053819709028236004,0.1763157894736842,0.23960526315789468,0.06292331654074836,0.08152626862817748,0.018990642948837986,0.0658627755065461,0.2394078947368421,0.33427631578947364,0.284001390176089,0.48171874999999986,0.2998529411764706,0.4157303370786517,0.1162567084078712,0.17781094527363184,2.1616343718481605
1d_cnn,0.7853302600947647,0.7749584487534626,0.5180470269965287,9.700218174992182,0.17293233082706766,0.3,0.31842105263157894,0.00954525419367775,0.09365972111311545,760,380,0.7465216155621863,0.8404967444774858,0.7318156163434902,0.8197783933518005,0.03711663522445008,1.4329333604408585,9.077072621520584,10.303663016039678,0.14255539530614922,0.2000281954887218,0.23394736842105263,0.3526973684210526,0.2736842105263158,0.355328947368421,-0.0034013692169100017,0.016260452214778124,0.08624588440709095,0.10557785816691055,0.7184837861496529,5.364530837602024,0.5074644088745117,16.05550193786621,0.7984483461801908,0.047484775508972725,0.31842105263157894,0.09365972111311545,0.13437095517818398,0.3,0.4431137724550898,0.3103448275862069,0.10317460317460317,-0.033990604456766604,1.7307772239674288,4.971251289745799,6.318157022950567,-0.6908035278320312,1.2939634919166563,13.830848217010498,17.535265855789188,0.7156961401400863,0.8380586080502367,0.007890728225825797,0.053352809543863816,0.2631578947368421,0.3632236842105263,0.08624588440709095,0.10676577085736627,0.07400196975044346,0.16257202361354658,0.22894736842105262,0.355328947368421,0.3795180722891566,0.55,0.20873447204968945,0.39416985417164696,0.03887333907480315,0.15447154471544716,2.629668670849602
causal_window_transformer_new,0.7711793630612127,0.7763296398891966,-6.704415076781873,11.674181721699789,0.29213483146067415,0.29736842105263156,0.3236842105263158,-0.006505064123557987,0.09871520798381489,760,380,0.7347198843317624,0.8137002242208298,0.735117728531856,0.8055195637119114,-7.085546925725796,-5.7150151488440475,10.497022405826966,12.980912496153051,0.25076533510034077,0.3301158301158301,0.24730263157894736,0.3526973684210526,0.2841447368421053,0.35789473684210527,-0.019253903223180237,0.008856194735639662,0.0931869813194357,0.10943688894783737,-3.1641477304860466,8.951610638577456,-4.201455116271973,14.672994136810303,0.9549230164915319,0.06290625477840733,0.3236842105263158,0.09871520798381489,0.05715799357484893,0.29736842105263156,0.4550898203592814,0.25287356321839083,0.11904761904761904,-5.059201975408101,-1.4810479925869924,7.550016700206072,11.030365359781023,-6.382079124450684,-2.6824188232421875,13.48026351928711,16.790339946746826,0.8582480694973852,1.0809197480895645,0.0,0.08507912782377104,0.27631578947368424,0.355328947368421,0.0931869813194357,0.11239503636836404,0.038608535783272356,0.11701307052593372,0.24986842105263157,0.3474342105263158,0.35592278719397363,0.55015625,0.1999382716049383,0.3044095849802371,0.04580152671755725,0.1984126984126984,2.7725165039413278
two_pulse_template_likelihood_traditional,0.6769785567160955,0.6245117728531855,0.8404324620028092,8.961602614831746,0.2057142857142857,0.5394736842105263,0.24210526315789474,0.00950056024557163,0.09552261315328632,760,380,0.6512341490276824,0.7089600527546674,0.5805747922437672,0.6698649584487535,-0.4045033465721559,1.572338283412783,7.831168129115968,10.719371745347821,0.16887417218543047,0.24316939890710382,0.4868421052631579,0.6026973684210526,0.19460526315789473,0.279078947368421,-0.004249514232045287,0.020337012036018506,0.07936263486299334,0.11088280793651469,0.6825788169017866,6.576983545318969,0.0,17.500000000000004,0.8167329432059515,0.029500546333211572,0.24210526315789474,0.09552261315328632,0.09595323711752662,0.5394736842105263,0.7485029940119761,0.5287356321839081,0.2698412698412698,-0.5387750327760799,1.6985055339614683,5.7134319975110275,7.7870454686335115,0.0,7.105427357601002e-15,15.000000000000002,21.399999999999988,0.6982484176962936,0.9119309022719078,0.02348967837269625,0.037219325627186634,0.19986842105263158,0.2894736842105263,0.07942924446431102,0.11080635901062187,0.0662537234336902,0.147162817918001,0.49434210526315786,0.5921710526315789,0.6897187822497419,0.8118527538403897,0.4248664400194269,0.6705627099664053,0.17920353982300885,0.34860731373889264,2.7930038025878647
residual_tail_veto_traditional,0.6618463476635077,0.6303670360110804,0.824359183763077,9.739549603561908,0.2182741116751269,0.48157894736842105,0.35789473684210527,0.011578957370217859,0.09743643796215726,760,380,0.6312911992226338,0.7035611726922207,0.5804986149584488,0.6735377423822714,-0.43357268408334537,1.5704151561486235,8.767272385864297,11.786211947249594,0.18814432989690721,0.24672346791388672,0.43407894736842106,0.5473684210526316,0.3,0.4236842105263158,-0.0002427246622687908,0.020513822594207764,0.08007294105046443,0.11265926941971634,0.5142667035632797,6.618354810935793,0.0,20.000000000000004,0.8235362602373678,0.029500546333211572,0.35789473684210527,0.09743643796215726,0.1021430738777194,0.48157894736842105,0.6646706586826348,0.45977011494252873,0.25396825396825395,-0.6844900185347846,1.3980923159125471,6.1496193833717285,7.979194682728029,0.0,7.105427357601002e-15,17.500000000000007,23.749999999999993,0.7253631575678943,0.9396754268133385,0.02348967837269625,0.03737496363872009,0.2893421052631579,0.41578947368421054,0.0803642897379851,0.11104366662819229,0.09327698481137375,0.15199998290509928,0.4315131578947369,0.5368421052631579,0.5941344537815126,0.747029560616517,0.3780093256814921,0.5376344086021505,0.18699186991869918,0.33872093023255806,2.954733672952384
mlp,0.7976468215864814,0.7940096952908587,-1.1134304782229387,12.663647871869998,0.25,0.3526315789473684,0.20789473684210527,-0.014077218154855874,0.13761980402262328,760,380,0.755561234695877,0.8325230797082432,0.7538940443213296,0.8271537396121884,-3.0014236400362604,-0.5801231285398298,11.99530711600747,13.336729897128265,0.22491297468354432,0.2668067226890756,0.3103289473684211,0.3894736842105263,0.1631578947368421,0.2631578947368421,-0.02596125282292185,-0.004091894235064902,0.1168674325275916,0.15209136766406423,-0.8575965282425768,10.123245666248373,-1.4989745296201873,17.408823894437376,0.9791871418821648,0.11609387809042665,0.20789473684210527,0.13761980402262328,0.07853401576277884,0.3526315789473684,0.5329341317365269,0.3333333333333333,0.12698412698412698,-3.0846762228158333,-0.03685646547777921,9.027195752997054,10.857788778590093,-3.2992025278904236,0.7322304526498233,14.96314592712114,21.806312957130245,0.9434954459739493,1.054079986489193,0.03343851865683116,0.13910479540003,0.16289473684210526,0.2631578947368421,0.11614686901135532,0.1484215530916776,0.043152863501179625,0.15756438869874323,0.2868421052631579,0.3973684210526316,0.4716526483291657,0.6196285434995111,0.19994505494505496,0.44700193423597673,0.07309927591463414,0.18034553420011307,3.0879456140391897
tiny_sequence_transformer,0.7379118975874203,0.7584349030470914,-8.463642955239017,16.528292586527385,0.3794466403162055,0.33421052631578946,0.26842105263157895,-0.05908851693674137,0.1110762924564131,760,380,0.6817289834834218,0.8190736290290213,0.7184224376731302,0.8065235457063712,-10.205186009488434,-5.809016893263661,15.204314674746273,17.271059795106652,0.3356923834333473,0.411522633744856,0.2914473684210527,0.38421052631578945,0.21052631578947367,0.2949999999999999,-0.0840269116194584,-0.0469700561573877,0.09300568070938536,0.12387191702949504,-0.08071327661942185,13.518163192134077,-13.588228225708008,21.98646268844604,1.2960639250711044,0.06281380260879577,0.26842105263157895,0.1110762924564131,0.06776516322462836,0.33421052631578946,0.5089820359281437,0.3333333333333333,0.10317460317460317,-3.2198679700004806,1.7065470705438774,11.39998603476168,18.0753835676852,-15.297203660011292,-7.228240966796875,19.488672823905947,26.132888793945312,1.2202641627839497,1.414334381002429,0.02423168956907327,0.09693996449339637,0.22631578947368422,0.3055263157894736,0.09154124424230592,0.12704111304569773,0.03686126421278607,0.1246443228371586,0.2657894736842105,0.38421052631578945,0.41379310344827586,0.62515625,0.2169015766841854,0.4574468085106383,0.03875968992248062,0.16216216216216217,3.6817687434025665
leading_edge_cfd_traditional,0.4868019064292861,0.4868005540166205,-10.014104150889281,16.325429444670544,0.39296187683284456,0.10263157894736842,0.868421052631579,0.34867223172159906,0.30175846601176265,760,380,0.4670827206987804,0.5158900149001036,0.45393351800554016,0.517748268698061,-10.935458488507539,-8.364591374852735,14.43581182881931,17.538436091117433,0.3496618863253266,0.42839294539164813,0.08421052631578947,0.11578947368421053,0.8394736842105263,0.8974342105263158,0.3208969577855587,0.37701237736248905,0.2317769961854435,0.32753189801860205,-8.225164293215412,9.633707363714587,0.0,21.25,2.273697135090189,0.22737314190304878,0.868421052631579,0.30175846601176265,0.36180189708030097,0.10263157894736842,0.0658682634730539,0.13793103448275862,0.12698412698412698,-9.578779472899326,-6.871374385273885,8.958197790188066,10.944062659416726,0.0,7.105427357601002e-15,20.0,21.25,2.178902727208877,2.5055080058650265,0.1443921719930249,0.34280748138232975,0.8392105263157894,0.8921710526315789,0.23375491588070524,0.3273650806087291,0.2895983021318321,0.458639933098439,0.08414473684210526,0.11578947368421053,0.045714285714285714,0.0904415909251039,0.09078690127077224,0.18295892169448008,0.08527131782945736,0.1654840383324177,5.816893274419177
