method,stratum,value,n,tp,fp,tn,fn,pid_efficiency,pid_purity,pid_specificity,pid_balanced_accuracy
1d_cnn,pedestal_bin,"(-4320.819, -170.068]",220,80,18,96,26,0.7547169811320755,0.8163265306122449,0.8421052631578947,0.7984111221449851
1d_cnn,pedestal_bin,"(-170.068, -8.932]",220,82,23,89,26,0.7592592592592593,0.780952380952381,0.7946428571428571,0.7769510582010581
1d_cnn,pedestal_bin,"(-8.932, 609.332]",220,86,26,80,28,0.7543859649122807,0.7678571428571429,0.7547169811320755,0.7545514730221781
1d_cnn,pileup_bin,clean,330,123,32,135,40,0.754601226993865,0.7935483870967742,0.8083832335329342,0.7814922302633995
1d_cnn,pileup_bin,overlap,330,125,35,130,40,0.7575757575757576,0.78125,0.7878787878787878,0.7727272727272727
1d_cnn,saturation_bin,saturated,240,91,30,92,27,0.7711864406779662,0.7520661157024794,0.7540983606557377,0.762642400666852
1d_cnn,saturation_bin,unsaturated,420,157,37,173,53,0.7476190476190476,0.8092783505154639,0.8238095238095238,0.7857142857142857
deltaE_over_E_likelihood_template,pedestal_bin,"(-4320.819, -170.068]",220,80,18,96,26,0.7547169811320755,0.8163265306122449,0.8421052631578947,0.7984111221449851
deltaE_over_E_likelihood_template,pedestal_bin,"(-170.068, -8.932]",220,77,22,90,31,0.7129629629629629,0.7777777777777778,0.8035714285714286,0.7582671957671958
deltaE_over_E_likelihood_template,pedestal_bin,"(-8.932, 609.332]",220,79,21,85,35,0.6929824561403509,0.79,0.8018867924528302,0.7474346242965906
deltaE_over_E_likelihood_template,pileup_bin,clean,330,120,31,136,43,0.7361963190184049,0.7947019867549668,0.8143712574850299,0.7752837882517174
deltaE_over_E_likelihood_template,pileup_bin,overlap,330,116,30,135,49,0.703030303030303,0.7945205479452054,0.8181818181818182,0.7606060606060606
deltaE_over_E_likelihood_template,saturation_bin,saturated,240,99,32,90,19,0.8389830508474576,0.7557251908396947,0.7377049180327869,0.7883439844401223
deltaE_over_E_likelihood_template,saturation_bin,unsaturated,420,137,29,181,73,0.6523809523809524,0.8253012048192772,0.861904761904762,0.7571428571428571
gradient_boosted_trees,pedestal_bin,"(-4320.819, -170.068]",220,94,21,93,12,0.8867924528301887,0.8173913043478261,0.8157894736842105,0.8512909632571997
gradient_boosted_trees,pedestal_bin,"(-170.068, -8.932]",220,97,24,88,11,0.8981481481481481,0.8016528925619835,0.7857142857142857,0.841931216931217
gradient_boosted_trees,pedestal_bin,"(-8.932, 609.332]",220,104,25,81,10,0.9122807017543859,0.8062015503875969,0.7641509433962265,0.8382158225753062
gradient_boosted_trees,pileup_bin,clean,330,151,32,135,12,0.9263803680981595,0.825136612021858,0.8083832335329342,0.8673818008155468
gradient_boosted_trees,pileup_bin,overlap,330,144,38,127,21,0.8727272727272727,0.7912087912087912,0.7696969696969697,0.8212121212121212
gradient_boosted_trees,saturation_bin,saturated,240,111,32,90,7,0.940677966101695,0.7762237762237763,0.7377049180327869,0.839191442067241
gradient_boosted_trees,saturation_bin,unsaturated,420,184,38,172,26,0.8761904761904762,0.8288288288288288,0.819047619047619,0.8476190476190476
joint_sequence_transformer,pedestal_bin,"(-4320.819, -170.068]",220,48,45,69,58,0.4528301886792453,0.5161290322580645,0.6052631578947368,0.5290466732869911
joint_sequence_transformer,pedestal_bin,"(-170.068, -8.932]",220,46,51,61,62,0.42592592592592593,0.4742268041237113,0.5446428571428571,0.4852843915343915
joint_sequence_transformer,pedestal_bin,"(-8.932, 609.332]",220,51,41,65,63,0.4473684210526316,0.5543478260869565,0.6132075471698113,0.5302879841112215
joint_sequence_transformer,pileup_bin,clean,330,110,103,64,53,0.6748466257668712,0.5164319248826291,0.38323353293413176,0.5290400793505015
