method,residual_column,nominal_coverage,support_atom,n_runs,n_pair_rows,coverage,coverage_ci_low,coverage_ci_high,coverage_error,abs_coverage_error,mean_interval_width_ns,interval_width_ci_low_ns,interval_width_ci_high_ns,run_family,topology,b2_saturation_depth_bin,q_template_shift_bin,amplitude_bin,baseline_bin,pileup_bin
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|B2_containing|sat=deep|q=all|amp=all|base=nominal_baseline|pile=not_pileup_like,4,232,0.7629310344827587,0.5555555555555556,0.7777777777777778,0.08293103448275863,0.08293103448275863,16.95769984567795,13.115970771673847,17.400732577050928,sample_i_analysis,B2_containing,deep,all,all,nominal_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|B2_containing|sat=mild|q=all|amp=all|base=nominal_baseline|pile=pileup_like,2,9,0.4444444444444444,0.0,0.5,-0.23555555555555563,0.23555555555555563,95.83954110751418,81.43854043589714,97.6396661914663,sample_i_analysis,B2_containing,mild,all,all,nominal_baseline,pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|B2_containing|sat=moderate|q=all|amp=all|base=nominal_baseline|pile=not_pileup_like,2,12,0.5,0.5,0.5,-0.18000000000000005,0.18000000000000005,20.515456559785157,20.441385983275737,20.885809442332256,sample_i_analysis,B2_containing,moderate,all,all,nominal_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|B2_containing|sat=none|q=all|amp=all|base=low_baseline|pile=not_pileup_like,11,7557,0.6779145163424639,0.5993563657772346,0.7413527818598796,-0.0020854836575361357,0.0020854836575361357,57.16533194610854,54.026416570635014,59.57323372779944,sample_i_analysis,B2_containing,none,all,all,low_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|B2_containing|sat=none|q=all|amp=all|base=nominal_baseline|pile=not_pileup_like,4,374,0.7593582887700535,0.4375,0.7951070336391437,0.07935828877005346,0.07935828877005346,9.03842307483387,6.275769786946203,9.427811899206853,sample_i_analysis,B2_containing,none,all,all,nominal_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|B2_containing|sat=none|q=all|amp=all|base=nominal_baseline|pile=pileup_like,4,348,0.7816091954022989,0.38461538461538464,0.8150470219435737,0.10160919540229885,0.10160919540229885,89.23806045515848,20.40798872592312,95.42457448545902,sample_i_analysis,B2_containing,none,all,all,nominal_baseline,pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|downstream_only|sat=none|q=all|amp=all|base=low_baseline|pile=not_pileup_like,11,2888,0.6436980609418282,0.5366373224104137,0.7545868950900743,-0.036301939058171806,0.036301939058171806,8.814556578405776,8.598106610836018,9.05272644336861,sample_i_analysis,downstream_only,none,all,all,low_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_i_analysis|downstream_only|sat=none|q=all|amp=all|base=nominal_baseline|pile=not_pileup_like,3,291,0.697594501718213,0.6551724137931034,0.7022900763358778,0.017594501718212974,0.017594501718212974,5.464628322273444,5.291908732575507,5.481574395224939,sample_i_analysis,downstream_only,none,all,all,nominal_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_ii_analysis|B2_containing|sat=none|q=all|amp=all|base=low_baseline|pile=not_pileup_like,7,34941,0.6337540425288343,0.4849298716800955,0.7647889454838872,-0.04624595747116578,0.04624595747116578,10.278266825247057,9.540473285391203,10.832829879545356,sample_ii_analysis,B2_containing,none,all,all,low_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.68,sample_ii_analysis|downstream_only|sat=none|q=all|amp=all|base=low_baseline|pile=not_pileup_like,7,18098,0.6039893910929385,0.481190128042962,0.7398322013804036,-0.07601060890706157,0.07601060890706157,8.409007005790642,7.937595407279142,8.854785236680877,sample_ii_analysis,downstream_only,none,all,all,low_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.95,sample_i_analysis|B2_containing|sat=deep|q=all|amp=all|base=nominal_baseline|pile=not_pileup_like,4,232,0.9094827586206896,0.8985507246376812,1.0,-0.04051724137931034,0.04051724137931034,25.77103033507617,24.94993896073326,32.609129789834896,sample_i_analysis,B2_containing,deep,all,all,nominal_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.95,sample_i_analysis|B2_containing|sat=mild|q=all|amp=all|base=nominal_baseline|pile=pileup_like,2,9,0.8888888888888888,0.875,1.0,-0.061111111111111116,0.061111111111111116,171.66800882148516,169.51333440331942,188.90540416681117,sample_i_analysis,B2_containing,mild,all,all,nominal_baseline,pileup_like
cnn_1d,resid_cnn_1d,0.95,sample_i_analysis|B2_containing|sat=moderate|q=all|amp=all|base=nominal_baseline|pile=not_pileup_like,2,12,1.0,1.0,1.0,0.050000000000000044,0.050000000000000044,45.855507777260414,45.4624302914992,45.93412327441265,sample_i_analysis,B2_containing,moderate,all,all,nominal_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.95,sample_i_analysis|B2_containing|sat=none|q=all|amp=all|base=low_baseline|pile=not_pileup_like,11,7557,0.950112478496758,0.9404793257835133,0.9593851647128254,0.00011247849675799504,0.00011247849675799504,209.4416023551037,209.21972561319757,209.63638988449193,sample_i_analysis,B2_containing,none,all,all,low_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.95,sample_i_analysis|B2_containing|sat=none|q=all|amp=all|base=nominal_baseline|pile=not_pileup_like,4,374,0.9385026737967914,0.9361702127659575,0.9428571428571428,-0.011497326203208535,0.011497326203208535,41.115725138833355,40.532185639133004,45.221796579149405,sample_i_analysis,B2_containing,none,all,all,nominal_baseline,not_pileup_like
cnn_1d,resid_cnn_1d,0.95,sample_i_analysis|B2_containing|sat=none|q=all|amp=all|base=nominal_baseline|pile=pileup_like,4,348,0.9626436781609196,0.8571428571428571,0.9655172413793104,0.012643678160919603,0.012643678160919603,169.50835752399797,164.15555753052035,228.60125257769414,sample_i_analysis,B2_containing,none,all,all,nominal_baseline,pileup_like
