run,group,events,records,median_first_four_selected,dynamic_range_selected,dynamic_only,median_only
31,sample_i_calib,39990,159960,27871,30065,2194,0
32,sample_i_calib,41921,167684,28240,30641,2401,0
33,sample_i_calib,57173,228692,48737,49818,1081,0
34,sample_i_calib,39765,159060,34118,34760,642,0
35,sample_i_calib,27786,111144,11667,13793,2126,0
36,sample_i_calib,21764,87056,10391,12107,1716,0
37,sample_i_calib,50513,202052,24537,29337,4800,0
39,sample_i_calib,30321,121284,14218,17229,3011,0
40,sample_i_calib,32613,130452,14708,18041,3333,0
41,sample_i_calib,33997,135988,16146,19428,3282,0
42,sample_i_calib,33972,135888,18112,21290,3178,0
44,sample_i_analysis,4294,17176,2038,2463,425,0
45,sample_i_analysis,48181,192724,24333,28993,4660,0
46,sample_i_analysis,1441,5764,687,736,49,0
47,sample_i_analysis,10970,43880,5276,5687,411,0
48,sample_i_analysis,31713,126852,14000,17003,3003,0
49,sample_i_analysis,32354,129416,14815,17875,3060,0
50,sample_i_analysis,44804,179216,35217,36830,1613,0
51,sample_i_analysis,20569,82276,14740,15774,1034,0
52,sample_i_analysis,10005,40020,7152,7668,516,0
53,sample_i_analysis,39612,158448,32200,33603,1403,0
54,sample_i_analysis,37413,149652,30440,31655,1215,0
55,sample_i_analysis,24416,97664,17387,18686,1299,0
56,sample_i_analysis,51823,207292,40148,42084,1936,0
57,sample_i_analysis,31284,125136,13833,16792,2959,0
58,sample_ii_analysis,34141,136564,16781,17533,752,0
59,sample_ii_analysis,42303,169212,21377,23852,2475,0
60,sample_ii_analysis,36074,144296,17029,19397,2368,0
61,sample_ii_analysis,36535,146140,18965,21438,2473,0
62,sample_ii_analysis,37584,150336,19089,21438,2349,0
63,sample_ii_analysis,37030,148120,18817,20360,1543,0
64,sample_ii_calib,35943,143772,14630,15860,1230,0
65,sample_ii_analysis,38424,153696,13038,14137,1099,0
