method,run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
raw_pair_median,44,B2-B4,B2-B6,1205.2087629815678,True,True
raw_pair_median,44,B2-B4,B2-B8,2095.3248133459238,True,True
raw_pair_median,44,B2-B4,B4-B6,-23.923396258083713,True,False
raw_pair_median,44,B2-B4,B4-B8,65.2811074303656,True,False
raw_pair_median,44,B2-B4,B6-B8,33.960480546990105,True,False
raw_pair_median,44,B2-B6,B2-B8,2219.7544565635585,True,True
raw_pair_median,44,B2-B6,B4-B6,13.55462549401785,True,False
raw_pair_median,44,B2-B6,B4-B8,56.09109555013842,True,False
raw_pair_median,44,B2-B6,B6-B8,41.22118940208366,True,False
raw_pair_median,44,B2-B8,B4-B6,22.130615003148318,True,False
raw_pair_median,44,B2-B8,B4-B8,71.06936580887812,True,False
raw_pair_median,44,B2-B8,B6-B8,43.601142767667454,True,False
raw_pair_median,44,B4-B6,B4-B8,4.434393199353324,False,False
raw_pair_median,44,B4-B6,B6-B8,-0.8839487128827072,False,False
raw_pair_median,44,B4-B8,B6-B8,1.6835546246452067,False,False
raw_pair_median,45,B2-B4,B2-B6,1331.4345345954978,True,True
raw_pair_median,45,B2-B4,B2-B8,1380.9648926532966,True,True
raw_pair_median,45,B2-B4,B4-B6,-4.043858589788106,True,False
raw_pair_median,45,B2-B4,B4-B8,-2.118154710411581,True,False
raw_pair_median,45,B2-B4,B6-B8,3.398455822091928,True,False
raw_pair_median,45,B2-B6,B2-B8,1358.3343331502301,True,True
raw_pair_median,45,B2-B6,B4-B6,40.295700835884894,True,False
raw_pair_median,45,B2-B6,B4-B8,1.4751578957152711,True,False
raw_pair_median,45,B2-B6,B6-B8,1.635285162704229,True,False
raw_pair_median,45,B2-B8,B4-B6,-1.9275224317937487,True,False
raw_pair_median,45,B2-B8,B4-B8,35.96812844624292,True,False
raw_pair_median,45,B2-B8,B6-B8,36.51533712207833,True,False
raw_pair_median,45,B4-B6,B4-B8,4.4715926048057515,False,False
raw_pair_median,45,B4-B6,B6-B8,-2.344993364823192,False,False
raw_pair_median,45,B4-B8,B6-B8,33.56389645826903,False,False
raw_pair_median,47,B2-B4,B2-B6,2012.3308474180826,True,True
raw_pair_median,47,B2-B4,B2-B8,2086.083675693472,True,True
raw_pair_median,47,B2-B4,B4-B6,3.671674145080932,True,False
raw_pair_median,47,B2-B4,B4-B8,-28.643927738384185,True,False
raw_pair_median,47,B2-B4,B6-B8,-22.63095027667024,True,False
raw_pair_median,47,B2-B6,B2-B8,2080.780040354396,True,True
raw_pair_median,47,B2-B6,B4-B6,7.904659664279615,True,False
raw_pair_median,47,B2-B6,B4-B8,-27.93458561574624,True,False
raw_pair_median,47,B2-B6,B6-B8,-23.413441082622946,True,False
raw_pair_median,47,B2-B8,B4-B6,-5.30363533907601,True,False
raw_pair_median,47,B2-B8,B4-B8,-27.028572059996808,True,False
raw_pair_median,47,B2-B8,B6-B8,-21.724936720920805,True,False
raw_pair_median,47,B4-B6,B4-B8,0.7093421226379425,False,False
raw_pair_median,47,B4-B6,B6-B8,-0.7824908059527083,False,False
raw_pair_median,47,B4-B8,B6-B8,0.9060135557494345,False,False
raw_pair_median,48,B2-B4,B2-B6,939.2879464873689,True,True
raw_pair_median,48,B2-B4,B2-B8,795.2276419787592,True,True
raw_pair_median,48,B2-B4,B4-B6,-1.2852227325998267,True,False
raw_pair_median,48,B2-B4,B4-B8,-0.946331958291484,True,False
raw_pair_median,48,B2-B4,B6-B8,3.0045659016290176,True,False
raw_pair_median,48,B2-B6,B2-B8,692.9773186878875,True,True
raw_pair_median,48,B2-B6,B4-B6,2.396720872193526,True,False
raw_pair_median,48,B2-B6,B4-B8,3.3167764227520267,True,False
raw_pair_median,48,B2-B6,B6-B8,2.219363872930187,True,False
raw_pair_median,48,B2-B8,B4-B6,-2.004496721861726,True,False
raw_pair_median,48,B2-B8,B4-B8,2.795673100541076,True,False
raw_pair_median,48,B2-B8,B6-B8,4.162914609748359,True,False
raw_pair_median,48,B4-B6,B4-B8,2.3907335239810172,False,False
raw_pair_median,48,B4-B6,B6-B8,-0.738604908561941,False,False
raw_pair_median,48,B4-B8,B6-B8,1.2746688861829596,False,False
raw_pair_median,49,B2-B4,B2-B6,849.2352117535894,True,True
raw_pair_median,49,B2-B4,B2-B8,929.947249491774,True,True
raw_pair_median,49,B2-B4,B4-B6,3.3907003379166016,True,False
raw_pair_median,49,B2-B4,B4-B8,10.005913269386767,True,False
raw_pair_median,49,B2-B4,B6-B8,0.3779278271848105,True,False
raw_pair_median,49,B2-B6,B2-B8,825.5332481039301,True,True
raw_pair_median,49,B2-B6,B4-B6,86.6656112262143,True,False
raw_pair_median,49,B2-B6,B4-B8,18.54753941013442,True,False
raw_pair_median,49,B2-B6,B6-B8,-0.5118638921995958,True,False
raw_pair_median,49,B2-B8,B4-B6,18.16961158294962,True,False
raw_pair_median,49,B2-B8,B4-B8,22.52030481457837,True,False
raw_pair_median,49,B2-B8,B6-B8,0.8125619438402093,True,False
raw_pair_median,49,B4-B6,B4-B8,11.147150224297393,False,False
raw_pair_median,49,B4-B6,B6-B8,-0.3869883442942864,False,False
raw_pair_median,49,B4-B8,B6-B8,1.109510683482222,False,False
raw_pair_median,50,B2-B4,B2-B6,1367.9371212257147,True,True
raw_pair_median,50,B2-B4,B2-B8,1351.88159177959,True,True
raw_pair_median,50,B2-B4,B4-B6,28.734218341738128,True,False
raw_pair_median,50,B2-B4,B4-B8,11.946974074082856,True,False
raw_pair_median,50,B2-B4,B6-B8,7.756055263146487,True,False
raw_pair_median,50,B2-B6,B2-B8,1491.3882189489893,True,True
raw_pair_median,50,B2-B6,B4-B6,116.33906500098466,True,False
raw_pair_median,50,B2-B6,B4-B8,14.245446469864909,True,False
raw_pair_median,50,B2-B6,B6-B8,3.679540505494949,True,False
raw_pair_median,50,B2-B8,B4-B6,8.072307520962042,True,False
raw_pair_median,50,B2-B8,B4-B8,17.811225106670637,True,False
raw_pair_median,50,B2-B8,B6-B8,6.7169863634261455,True,False
raw_pair_median,50,B4-B6,B4-B8,2.3043857657487608,False,False
raw_pair_median,50,B4-B6,B6-B8,-0.12796964343207237,False,False
raw_pair_median,50,B4-B8,B6-B8,2.0130335999351305,False,False
raw_pair_median,51,B2-B4,B2-B6,1172.7927800749555,True,True
raw_pair_median,51,B2-B4,B2-B8,1283.0788743971384,True,True
raw_pair_median,51,B2-B4,B4-B6,-113.0192184745075,True,False
raw_pair_median,51,B2-B4,B4-B8,-144.63756543034222,True,False
raw_pair_median,51,B2-B4,B6-B8,-6.360355010626365,True,False
raw_pair_median,51,B2-B6,B2-B8,1516.002801214298,True,True
raw_pair_median,51,B2-B6,B4-B6,124.2331131046058,True,False
raw_pair_median,51,B2-B6,B4-B8,356.1376162322795,True,False
raw_pair_median,51,B2-B6,B6-B8,-2.412875675389839,True,False
raw_pair_median,51,B2-B8,B4-B6,362.2887056002475,True,False
raw_pair_median,51,B2-B8,B4-B8,339.66806567592135,True,False
raw_pair_median,51,B2-B8,B6-B8,0.1511291061893163,True,False
raw_pair_median,51,B4-B6,B4-B8,505.9321255945703,False,False
raw_pair_median,51,B4-B6,B6-B8,4.405589809865638,False,False
raw_pair_median,51,B4-B8,B6-B8,7.030490060532928,False,False
raw_pair_median,52,B2-B4,B2-B6,1487.5768019531217,True,True
raw_pair_median,52,B2-B4,B2-B8,1236.5398986969008,True,True
raw_pair_median,52,B2-B4,B4-B6,82.06638499257087,True,False
