stave,bin,n_train_pulses,amp_low_adc,amp_high_adc,seed_cfd20_median_samples,seed_iqr_samples,aligned_cfd20_sigma68_samples,heldout_run,selector
B4,0,937,,1931.75,3.8101995565410203,3.3555915502083153,0.06648030681911846,58,median_first4
B4,1,936,1931.75,2368.0,5.0156495328394515,2.0758888482745252,0.0052602290516777115,58,median_first4
B4,2,937,2368.0,2709.25,5.061538461538461,1.3582751204251764,0.01257230874448048,58,median_first4
B4,3,937,2709.25,,4.956291390728477,1.3749547078076407,0.023072755699364633,58,median_first4
B6,0,937,,2045.75,5.334426229508197,3.52584800343495,0.05580804048912846,58,median_first4
B6,1,934,2045.75,2467.0,5.367448527082674,2.368607478129834,0.05856773033282343,58,median_first4
B6,2,939,2467.0,2821.25,5.426477541371159,1.780335500806645,0.06907701150981074,58,median_first4
B6,3,937,2821.25,,5.344501718213058,1.6533447556409158,0.06753049071571138,58,median_first4
B8,0,935,,2806.0,5.237220259128386,3.433818698162229,0.0400041224608817,58,median_first4
B8,1,938,2806.0,3346.5,5.394426679623059,2.0777514336643987,0.07211712089232902,58,median_first4
B8,2,935,3346.5,4106.5,5.383889980353635,1.5928250455827073,0.08203124611149268,58,median_first4
B8,3,939,4106.5,,5.213811986613933,1.7449338368227552,0.06355465029889187,58,median_first4
B4,0,764,,1974.0,3.598952133668291,3.4128247146511703,0.09019624165149163,59,median_first4
B4,1,764,1974.0,2410.5,5.019398035806704,2.078741007778635,0.005739901645011596,59,median_first4
B4,2,763,2410.5,2735.0,5.061538461538461,1.2125110469026223,0.012544081192151245,59,median_first4
B4,3,766,2735.0,,4.9613773157621885,1.3060989076646836,0.020988402100773837,59,median_first4
B6,0,762,,2106.5,5.291617245817246,3.641028598116362,0.05126988518344369,59,median_first4
B6,1,765,2106.5,2529.5,5.380582524271845,2.417238956165785,0.059091264022135104,59,median_first4
B6,2,765,2529.5,2872.5,5.457653631284916,1.774598109072235,0.07448888305158985,59,median_first4
B6,3,765,2872.5,,5.322462787550744,1.6157996352150894,0.06570417472948745,59,median_first4
B8,0,764,,2845.5,5.21967301051488,3.565415584311877,0.03869850243024568,59,median_first4
B8,1,764,2845.5,3380.5,5.395330196252794,2.0598277242610488,0.07291559807704892,59,median_first4
B8,2,764,3380.5,4161.0,5.384088777099483,1.5188392930031143,0.08275032671663682,59,median_first4
B8,3,765,4161.0,,5.202760276027603,1.758696567323602,0.06117580345810916,59,median_first4
B4,0,752,,1882.0,4.1017608376428525,3.363921843880581,0.019496649323031273,60,median_first4
B4,1,754,1882.0,2300.75,5.016353143087899,2.12956828965602,0.005517187564638987,60,median_first4
B4,2,753,2300.75,2642.75,5.0620408163265305,1.5027243088913318,0.012924496185770521,60,median_first4
B4,3,753,2642.75,,5.0278223649010165,1.2131575705771462,0.007260033722734373,60,median_first4
B6,0,753,,1996.125,5.332974427994617,3.496448579431773,0.0554501435927109,60,median_first4
B6,1,753,1996.125,2394.5,5.380077619663648,2.3550467188179054,0.05861412079851399,60,median_first4
B6,2,753,2394.5,2764.625,5.421760391198044,1.8120625940697277,0.06684118947716224,60,median_first4
B6,3,753,2764.625,,5.4244,1.6381899405298306,0.0779976411003074,60,median_first4
B8,0,753,,2778.875,5.311482254697286,3.4330091379511325,0.05241696078564956,60,median_first4
