consumer,stratum,method,n_pair_residuals,n_events,n_runs,atom_gate_fraction,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns
timing,s03l_atom_label=pretrigger_lowering,hgb_waveform_amp_shape_stave,824,490,7,1.0,-0.7952719664497164,-0.7505666172171885,0.8774837276870924,2.7836333786034,0.025485436893203883
timing,s03l_atom_label=pretrigger_lowering,s03l_atom_gated_hgb,824,490,7,1.0,-0.7952719664497164,-0.7505666172171885,0.8774837276870924,2.7836333786034,0.025485436893203883
timing,s03l_atom_label=template_mismatch,analytic_timewalk,1969,958,7,1.0,0.8491664451323084,0.831343832774543,2.0105520547674227,2.230507300240809,0.01218892839004571
timing,s03l_atom_label=template_mismatch,hgb_waveform_amp_shape_stave,1969,958,7,1.0,-0.5949522155292404,-0.5777690658215988,1.3534259691706039,1.616780798220955,0.0045708481462671405
timing,s03l_atom_label=template_mismatch,s03l_atom_gated_hgb,1969,958,7,1.0,-0.5949522155292404,-0.5777690658215988,1.3534259691706039,1.616780798220955,0.0045708481462671405
timing,s03l_atom_label=template_mismatch+pretrigger_lowering,analytic_timewalk,1756,721,7,1.0,1.2322507176070692,1.9426348476311865,1.1948446285778949,2.86389231328511,0.014236902050113895
timing,s03l_atom_label=template_mismatch+pretrigger_lowering,hgb_waveform_amp_shape_stave,1756,721,7,1.0,-0.6315343017923085,-0.7206689577012284,0.66934572515883,2.5874212396901046,0.014236902050113895
timing,s03l_atom_label=template_mismatch+pretrigger_lowering,s03l_atom_gated_hgb,1756,721,7,1.0,-0.6315343017923085,-0.7206689577012284,0.66934572515883,2.5874212396901046,0.014236902050113895
charge,"charge_bin=charge[14000,24000)",analytic_timewalk,5990,3189,7,0.513355592654424,1.1514774331806779,1.4684624659965415,1.543294096733852,2.4350762322202217,0.013856427378964942
charge,"charge_bin=charge[14000,24000)",hgb_waveform_amp_shape_stave,5990,3189,7,0.513355592654424,-0.6312462923950947,-0.6288655988611858,1.1282033999108636,1.9894698078264434,0.007512520868113523
charge,"charge_bin=charge[14000,24000)",s03l_atom_gated_hgb,5990,3189,7,0.513355592654424,0.3202556752612465,0.09281202713016865,1.6206172680696433,2.393252433603317,0.018363939899833055
charge,"charge_bin=charge[24000,40000)",analytic_timewalk,3624,1871,7,0.6812913907284768,1.2354465957091416,1.137440927426244,1.7752475548945676,3.007242040194987,0.030629139072847682
charge,"charge_bin=charge[24000,40000)",hgb_waveform_amp_shape_stave,3624,1871,7,0.6812913907284768,-0.46971795502498265,-0.43007780597020684,1.1611872433428232,2.1512100667974208,0.024834437086092714
charge,"charge_bin=charge[24000,40000)",s03l_atom_gated_hgb,3624,1871,7,0.6812913907284768,0.010703868578972259,-0.1484200206971735,1.5244169589298722,2.364483080057422,0.02869757174392936
charge,"charge_bin=charge[4000,8000)",analytic_timewalk,285,175,7,0.6035087719298246,1.4065144178340636,2.1107105326161246,1.2660451706576048,3.240680485252717,0.010526315789473684
charge,"charge_bin=charge[4000,8000)",hgb_waveform_amp_shape_stave,285,175,7,0.6035087719298246,-0.5052500704939134,-0.3312250002002628,0.9256891325674925,3.1414855959246046,0.010526315789473684
charge,"charge_bin=charge[4000,8000)",s03l_atom_gated_hgb,285,175,7,0.6035087719298246,0.014884292032472763,-0.0545744897735431,1.5686499140371488,3.0693769141707947,0.010526315789473684
charge,"charge_bin=charge[8000,14000)",analytic_timewalk,1471,1032,7,0.6804894629503739,1.562177660076352,2.008788701089564,1.238845681835671,2.150832367144067,0.009517335146159076
charge,"charge_bin=charge[8000,14000)",hgb_waveform_amp_shape_stave,1471,1032,7,0.6804894629503739,-0.6112822696890408,-0.7243608908140331,0.8797683140414151,2.046182804344756,0.008157715839564922
charge,"charge_bin=charge[8000,14000)",s03l_atom_gated_hgb,1471,1032,7,0.6804894629503739,0.07200809837142115,-0.2538171906650035,1.5456570382241845,2.347687744581637,0.01563562202583277
energy,"amplitude_bin=amp_adc[1000,1500)",analytic_timewalk,256,216,7,0.76171875,1.7713365467238522,2.2642547856428585,0.9439871224763401,2.955759084487598,0.0078125
energy,"amplitude_bin=amp_adc[1000,1500)",hgb_waveform_amp_shape_stave,256,216,7,0.76171875,-0.9576973986961929,-0.915750475815738,0.8172064482028004,2.467568794378214,0.0078125
energy,"amplitude_bin=amp_adc[1000,1500)",s03l_atom_gated_hgb,256,216,7,0.76171875,-0.3477895423046699,-0.5946906563762546,1.4369678600891063,2.753652632300772,0.0234375
energy,"amplitude_bin=amp_adc[1500,2500)",analytic_timewalk,3901,2372,7,0.6239425788259421,1.3989156903781397,1.9306132685278783,1.3523381274574648,2.197581618932686,0.013586259933350423
energy,"amplitude_bin=amp_adc[1500,2500)",hgb_waveform_amp_shape_stave,3901,2372,7,0.6239425788259421,-0.6257429894483052,-0.7207836113600479,1.0542507353238335,1.89313581411975,0.007433991284286081
energy,"amplitude_bin=amp_adc[1500,2500)",s03l_atom_gated_hgb,3901,2372,7,0.6239425788259421,0.18843572099595257,-0.0384696427123429,1.5983753318234726,2.247735178968322,0.01717508331197129
energy,"amplitude_bin=amp_adc[2500,4000)",analytic_timewalk,6811,3099,7,0.534870063133167,1.0484281155841555,1.1984680969567163,1.561580351012349,2.6379571421248373,0.017178094259286448
energy,"amplitude_bin=amp_adc[2500,4000)",hgb_waveform_amp_shape_stave,6811,3099,7,0.534870063133167,-0.5395820057574091,-0.4948817738903628,1.1327758163275106,2.1275441774825468,0.014975774482454853
energy,"amplitude_bin=amp_adc[2500,4000)",s03l_atom_gated_hgb,6811,3099,7,0.534870063133167,0.24107277494079424,0.0283971067439523,1.611534017048684,2.443796508953994,0.02202319776831596
energy,"amplitude_bin=amp_adc[4000,7000)",analytic_timewalk,492,302,7,1.0,2.4526513940718,1.6113911932347733,2.5544394749051538,4.917319702427411,0.09349593495934959
energy,"amplitude_bin=amp_adc[4000,7000)",hgb_waveform_amp_shape_stave,492,302,7,1.0,-0.23530888448350232,-0.39136044485411503,1.365160320094006,3.3722998935075634,0.06097560975609756
energy,"amplitude_bin=amp_adc[4000,7000)",s03l_atom_gated_hgb,492,302,7,1.0,-0.23530888448350232,-0.39136044485411503,1.365160320094006,3.3722998935075634,0.06097560975609756
pileup,sample_window_mask=artifact_sensitive_3_6,analytic_timewalk,2498,1022,7,0.8698959167333867,1.2829697384966794,1.8554784364759307,1.1803734466739162,1.120509763821884,0.0
pileup,sample_window_mask=artifact_sensitive_3_6,hgb_waveform_amp_shape_stave,2498,1022,7,0.8698959167333867,-0.5701973008314125,-0.7344780116050771,0.6431096700753274,0.8107498367234048,0.003602882305844676
pileup,sample_window_mask=artifact_sensitive_3_6,s03l_atom_gated_hgb,2498,1022,7,0.8698959167333867,-0.35849918884300797,-0.6168725230540879,0.678508016727103,0.9973236819195314,0.0020016012810248197
pileup,sample_window_mask=delayed_or_edge_15_17,analytic_timewalk,477,171,7,0.35429769392033544,0.828904836972181,1.8280099948681252,1.1704493605623196,5.238615234212618,0.06918238993710692
pileup,sample_window_mask=delayed_or_edge_15_17,hgb_waveform_amp_shape_stave,477,171,7,0.35429769392033544,-0.5798550619087479,0.0740652376643566,1.1449491566496741,4.827747093812641,0.08176100628930817
pileup,sample_window_mask=delayed_or_edge_15_17,s03l_atom_gated_hgb,477,171,7,0.35429769392033544,0.25218102136047366,1.6508327869344726,1.2363264574469013,4.999584778256039,0.0880503144654088
pileup,sample_window_mask=late_tail_12_14,analytic_timewalk,429,172,7,0.40326340326340326,1.4319510366635202,1.822124306312034,1.247582357132731,5.217391244190656,0.06526806526806526
pileup,sample_window_mask=late_tail_12_14,hgb_waveform_amp_shape_stave,429,172,7,0.40326340326340326,-0.6297925070246861,-0.5171358831810124,1.0578009260913306,3.9899165362621147,0.055944055944055944
pileup,sample_window_mask=late_tail_12_14,s03l_atom_gated_hgb,429,172,7,0.40326340326340326,0.5971745215638905,0.5152199508172259,1.466250786476492,4.327023111143403,0.0675990675990676
pileup,sample_window_mask=nominal_template_7_11,analytic_timewalk,8056,2815,7,0.5274329692154915,1.2467263699757138,1.2370020706934355,1.8699466385594432,2.5771910793439314,0.018247269116186692
pileup,sample_window_mask=nominal_template_7_11,hgb_waveform_amp_shape_stave,8056,2815,7,0.5274329692154915,-0.5593264946329106,-0.547172233690361,1.2950399812507507,2.0080904361733083,0.010923535253227408
pileup,sample_window_mask=nominal_template_7_11,s03l_atom_gated_hgb,8056,2815,7,0.5274329692154915,0.3340716336297246,0.1521999030490768,1.7716676896903025,2.3547927076098065,0.02035749751737835
pid,p09_anomaly_class=novel_delayed_peak,analytic_timewalk,571,212,7,0.3607705779334501,1.2235899339206096,1.8443300008536028,1.1809544077361749,5.110185552330587,0.07705779334500876
pid,p09_anomaly_class=novel_delayed_peak,hgb_waveform_amp_shape_stave,571,212,7,0.3607705779334501,-0.44798640675368856,0.0102662761411806,1.1556625919008168,4.48464285219911,0.0840630472854641
pid,p09_anomaly_class=novel_delayed_peak,s03l_atom_gated_hgb,571,212,7,0.3607705779334501,0.4969358309176557,1.5638295483595996,1.2428723424782957,4.701322578989051,0.09807355516637478
pid,p09_anomaly_class=novel_early_pretrigger,analytic_timewalk,298,140,6,1.0,0.8359952682857145,1.875199262195963,1.319980297812305,3.9711615198861354,0.026845637583892617
pid,p09_anomaly_class=novel_early_pretrigger,hgb_waveform_amp_shape_stave,298,140,6,1.0,-0.9686227007706465,-0.4558313357921726,0.7802435860351828,3.7690491689552164,0.03355704697986577
pid,p09_anomaly_class=novel_early_pretrigger,s03l_atom_gated_hgb,298,140,6,1.0,-0.9686227007706465,-0.4558313357921726,0.7802435860351828,3.7690491689552164,0.03355704697986577
pid,p09_anomaly_class=unassigned_common,analytic_timewalk,10516,3624,7,0.5895777862305059,1.2674446096961614,1.461413335364579,1.5970675885959906,2.2827351661094393,0.01397869912514264
pid,p09_anomaly_class=unassigned_common,hgb_waveform_amp_shape_stave,10516,3624,7,0.5895777862305059,-0.5474645808561242,-0.6108638076718549,1.1087522389500215,1.6791763971136637,0.008082921262837581
pid,p09_anomaly_class=unassigned_common,s03l_atom_gated_hgb,10516,3624,7,0.5895777862305059,0.22143077907271966,-0.03059346898074715,1.614961407673321,2.0438817056019185,0.01683149486496767
pileup,run_family=sampleII_early_58_60,analytic_timewalk,4932,1644,3,0.5932684509326845,1.0167888068845097,1.274262379487407,1.3873612017970858,2.4777217164198264,0.015206812652068127
pileup,run_family=sampleII_early_58_60,hgb_waveform_amp_shape_stave,4932,1644,3,0.5932684509326845,-0.6779275320992333,-0.6484887619830708,1.0818004637755454,2.025079178376699,0.013179237631792377
pileup,run_family=sampleII_early_58_60,s03l_atom_gated_hgb,4932,1644,3,0.5932684509326845,0.02548644981293722,-0.078994299107709,1.514757242647025,2.264159199879611,0.015206812652068127
pileup,run_family=sampleII_late_65,analytic_timewalk,198,66,1,0.41919191919191917,1.030346961959167,1.1792291919174431,1.494640076269676,1.6991283591200679,0.005050505050505051
pileup,run_family=sampleII_late_65,hgb_waveform_amp_shape_stave,198,66,1,0.41919191919191917,-0.5777191363980307,-0.5609103251381171,1.223277341973938,1.2786182361334908,0.0
pileup,run_family=sampleII_late_65,s03l_atom_gated_hgb,198,66,1,0.41919191919191917,0.37503933015799196,0.0584347735543886,1.6675372462949563,1.7317094520451712,0.010101010101010102
pileup,run_family=sampleII_mid_61_63,analytic_timewalk,6330,2110,3,0.5932069510268563,1.4280204662292446,1.6794214625056618,1.7336827393892125,2.815700968540204,0.023696682464454975
pileup,run_family=sampleII_mid_61_63,hgb_waveform_amp_shape_stave,6330,2110,3,0.5932069510268563,-0.4769560775613636,-0.5216363692132298,1.1241127580189778,2.227744781954583,0.015007898894154818
pileup,run_family=sampleII_mid_61_63,s03l_atom_gated_hgb,6330,2110,3,0.5932069510268563,0.3115752552736798,0.02328470371635655,1.6798959679436474,2.5756005020539936,0.028278041074249607
