method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,table,candidate,alpha,fold,n_features,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,analytic_candidate,analytic_alpha,heldout_run,model,target_rmse_ns,variant,sample,ridge_alpha,train_r2,train_original_std,train_residualized_std,proxy_feature_set_sha256,n_train_pulses,proxy_names,feature_policy,feature_set_sha256,max_iter,hidden,channels
le500,2.0,train,11241.0,-1.3514462634955677,4.167408335278353,6.918176161314525,0.2117249355039587,238.42816593055196,1.3291582800203274,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
le500,2.0,heldout,219.0,-2.001406462295705,4.276464547244176,4.253314208378284,0.2237442922374429,0.8147152005573083,1.2817323849569138,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd10,2.0,train,11241.0,-2.7258007694778357,3.231280215850269,6.5286087902304875,0.04554754915043146,283.0841349702627,21.749591735215635,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd10,2.0,heldout,219.0,-2.6568637902402656,3.2704806590066764,14.991371260708931,0.0593607305936073,2.053333860757785,0.9899751493293615,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd20,2.0,train,11241.0,-2.7935580172317387,3.151501312152561,6.227180687210889,0.057646116893514815,295.722063836342,17.108533575175283,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd20,2.0,heldout,219.0,-3.2272342149502435,3.1154211816170307,4.88610097512565,0.0730593607305936,314.71073303563577,1.4965312275034803,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd30,2.0,train,11241.0,-2.695191055351728,3.251054351724693,6.305491642025523,0.08984965750378081,260.4521960318768,16.788739562424606,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd30,2.0,heldout,219.0,-2.6954781809695874,3.201911704605976,5.071954464482122,0.0867579908675799,153.73568652731564,1.3315079969257204,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd40,2.0,train,11241.0,-2.4600575535264255,3.413679991506209,6.390665187663215,0.114758473445423,188.95005205740148,11.706843613433401,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd40,2.0,heldout,219.0,-2.485968257783192,3.2812253435530834,5.267355331128638,0.1095890410958904,2.67384769603452,1.335135314551903,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd50,2.0,train,11241.0,-2.1405731958981633,3.6006946700264466,6.974430104122292,0.14473801263232808,184.68834377107726,7.708294094643504,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
cfd50,2.0,heldout,219.0,-2.2314567085261174,3.5303095172513093,3.5619471464817627,0.1461187214611872,144.02472504019454,1.640965991847175,traditional_scan,,,,,,,,,,58,,,,,,,,,,,,,,,,
