method,heldout_run,threshold,veto_fraction,timing_sigma68_all_ns,timing_sigma68_accepted_ns,timing_sigma68_delta_ns,charge_logamp_delta,baseline_final_fraction_delta,saturation_logamp_top10_delta,pileup_dt_mean_delta_ns,topology_n_downstream_delta,n_accepted_clean,n_vetoed_clean
transparent P02 morphology,58,6.562403334596431,0.02702702702702703,0.8779623884363779,0.8039340845421048,-0.07402830389427306,0.02048520948313204,0.03296590231182771,0.0111111111111111,0.03536422783508342,0.006756756756756577,36,1
transparent P02 morphology,59,6.176715387443643,0.08433734939759036,0.8659752201109989,0.8022786729448972,-0.06369654716610174,0.04372144309635306,0.07673682758207552,0.010526315789473675,0.07507214126211115,0.004850982878883858,380,35
transparent P02 morphology,60,6.552411679953892,0.04906542056074766,0.8951998855297902,0.8543715810438929,-0.04082830448589736,0.030396613972058617,0.05602942868425355,0.005651105651105645,0.05200064949082228,0.003266435509426291,407,21
transparent P02 morphology,61,6.785032690276756,0.02471169686985173,0.9072897393770725,0.8717476860810072,-0.0355420532960653,0.022750939986742935,0.0332228455864891,0.0030405405405405372,0.02693234328593075,0.005657531501847668,592,15
transparent P02 morphology,62,6.4988976813549,0.05714285714285714,0.9286834577279557,0.8874238234246444,-0.041259634303311254,0.015276947957138631,0.055342485026516425,0.006060606060606058,0.06291319140529228,-0.004184704184704291,396,24
transparent P02 morphology,63,6.499114855244423,0.061855670103092786,0.8994310602100041,0.801103931986661,-0.09832712822334311,0.0285047110941532,0.06284632134580484,0.009890109890109883,0.06653638647134086,0.0028888637136059714,182,12
transparent P02 morphology,65,6.614203681472588,0.0,0.9391676739785558,0.9391676739785558,0.0,0.0,0.0,0.0111111111111111,0.0,0.0,54,0
traditional timing/template reference,58,1.75,0.1891891891891892,0.8779623884363779,0.7878139094949819,-0.09014847894139599,0.0414973337304545,-0.1890382783269504,0.033333333333333326,0.039267827521481724,0.023423423423423184,30,7
traditional timing/template reference,59,2.0,0.014457831325301205,0.8659752201109989,0.8722899430702963,0.006314722959297359,-0.0020492836970840145,-0.013588742017066252,0.0002444987775061108,0.0005690605367756341,-0.0016024980116062792,409,6
traditional timing/template reference,60,2.0,0.030373831775700934,0.8951998855297902,0.8987490513435903,0.003549165813800048,-0.005023121677318443,-0.030843834726618682,0.0012048192771084293,-0.007478883998993657,-0.00019704988176982852,415,13
traditional timing/template reference,61,1.5,0.10214168039538715,0.9072897393770725,0.9196703466431263,0.012380607266053834,-0.007937784581335983,-0.07523630323579958,-0.008256880733944955,-0.05003846436852766,0.0054622674304369845,545,62
traditional timing/template reference,62,2.0,0.030952380952380953,0.9286834577279557,0.936901295433257,0.008217837705301267,0.00032607337349332965,-0.03231719070585248,-0.004176904176904181,-0.015790907971894308,0.0035275535275536285,407,13
traditional timing/template reference,63,1.75,0.04639175257731959,0.8994310602100041,0.9099935897312293,0.010562529521225272,-0.00885532299446723,-0.046381599860437495,-0.008108108108108109,0.0019325014755411374,-0.0019225410977985469,185,9
traditional timing/template reference,65,1.6666666666666667,0.16666666666666666,0.9391676739785558,1.0085035387845944,0.0693358648060386,0.023438841512847475,-0.17277537418434907,0.033333333333333326,-0.05893216747985974,0.014814814814815058,45,9
random_forest_s07h,58,0.6050316951047822,0.02702702702702703,0.8779623884363779,0.8039340845421048,-0.07402830389427306,0.005320173630144254,-0.013107636028643635,0.0111111111111111,0.03897301662110819,0.006756756756756577,36,1
