run,method,n,pid_auc,energy_sigma68_frac,timing_sigma68_ns
44,traditional_charge_ratio_template,1389,0.9953989326729201,0.1629460638593337,14.923792672157274
45,traditional_charge_ratio_template,17179,0.9948052281952313,0.09436087831447725,10.0
46,traditional_charge_ratio_template,495,0.9970434782608696,0.03884508683585016,10.0
47,traditional_charge_ratio_template,3830,0.9959327746021753,0.04064307495292903,10.0
48,traditional_charge_ratio_template,9823,0.9953773084316577,0.1267050760100699,15.0
49,traditional_charge_ratio_template,10317,0.9947739805694096,0.15407719204509782,15.0
50,traditional_charge_ratio_template,26206,0.9958839579819663,0.02557835394114457,5.0
51,traditional_charge_ratio_template,10741,0.995204928030669,0.028340800404806587,10.0
52,traditional_charge_ratio_template,5241,0.9955736699699733,0.02843348878595704,5.0
53,traditional_charge_ratio_template,20670,0.9975645086705668,0.02128030964787158,5.0
54,traditional_charge_ratio_template,19572,0.9976923226513771,0.021063632955154662,5.0
55,traditional_charge_ratio_template,12556,0.9950404210061552,0.02757139282157829,5.0
56,traditional_charge_ratio_template,29824,0.9957764408353799,0.02798927157902632,5.0
57,traditional_charge_ratio_template,9578,0.9966977751359797,0.14812993415219117,15.0
58,traditional_charge_ratio_template,10944,0.9994682652618901,0.018479828435026553,10.0
59,traditional_charge_ratio_template,11577,0.9945582470217643,0.35563176878229846,15.0
60,traditional_charge_ratio_template,8070,0.9977592947736413,0.43668957270373215,17.87717715501785
61,traditional_charge_ratio_template,9080,0.9977188431503041,0.35882954705312636,16.784320107102392
62,traditional_charge_ratio_template,9796,0.9968903298642948,0.32432044099258833,15.075585126876831
63,traditional_charge_ratio_template,12153,0.9961152523642574,0.11509781381517384,10.0
65,traditional_charge_ratio_template,9742,0.9975710257813568,0.02736607333048284,10.0
44,ridge,1389,0.9902198211624441,0.1884854034792528,1.1603365631288722
45,ridge,17179,0.9934762031783168,0.17626552046236243,1.045840757023038
46,ridge,495,0.9948212560386474,0.1121860047067406,0.859771002239007
47,ridge,3830,0.9958885089294445,0.10788300296687492,0.9105166104600083
48,ridge,9823,0.9937095411543082,0.18774960042019143,1.0915306259995798
49,ridge,10317,0.9932454090538424,0.18672088772256337,1.1080995256968384
50,ridge,26206,0.9931045777144529,0.0687744413534633,0.7484536304806194
51,ridge,10741,0.9940306349658953,0.07723308143560387,0.7726273227291286
52,ridge,5241,0.993207847487481,0.075854623938999,0.7760248228989199
53,ridge,20670,0.9930192645965042,0.0829943587375399,0.7130466119617607
54,ridge,19572,0.9931716510922571,0.081975012310931,0.7086452320394904
55,ridge,12556,0.9935473564803439,0.07653291494046748,0.7789533944845504
56,ridge,29824,0.9933865919711574,0.06864130223127377,0.7689796194329241
57,ridge,9578,0.9938266966346491,0.18926880909649768,1.1086648862371202
58,ridge,10944,0.9963207259584314,0.11686288114166662,0.8110272511620686
59,ridge,11577,0.9892290364683926,0.22146355963966777,2.6829872482749826
60,ridge,8070,0.9798848868255615,0.25917435540665634,3.3967545463885704
61,ridge,9080,0.9830667519475929,0.2377337610004534,3.3271273013115623
62,ridge,9796,0.9885665956048658,0.22230017208416258,2.885044963155477
