pool,method,n_pairs,median_ns,robust_width_ns,full_rms_ns,within_abs_2ns,tail_fraction_abs_gt_5ns,robust_ci_low_ns,robust_ci_high_ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,atom_mode,model_family
full_features,ridge,127,-0.2165435900733197,1.5701332343635497,2.7631284324321617,0.7952755905511811,0.047244094488188976,1.2731416391327683,1.8834706280409776,2.3968020096477223,0.9976085327850519,-0.1910411939440624,2.5822891350456247,full_features,ridge
full_features,gradient_boosted_trees,127,0.13566017050949863,1.034875246646683,1.403700662416079,0.8818897637795275,0.007874015748031496,0.720118049928706,1.3917780853819064,0.914071820943923,0.11902481780660504,-0.2979473946475046,2.987076650191124,full_features,gradient_boosted_trees
drop_leading_edge_samples,ridge,127,-0.4949920046628513,1.5583002562310135,2.7805393690868634,0.7716535433070866,0.03937007874015748,1.2075690997320965,1.8675508084816055,1.6705143616408409,0.3615334305009675,-0.15045810612157087,1.6174467606065892,drop_leading_edge_samples,ridge
drop_leading_edge_samples,gradient_boosted_trees,127,-0.043295440122383955,1.457425965543099,1.747853502884823,0.7952755905511811,0.015748031496062992,1.3278275299984574,1.8294404599399055,1.808695239173275,0.41641353015966037,-0.19956586813672508,1.3834073360510124,drop_leading_edge_samples,gradient_boosted_trees
drop_tail_samples,ridge,127,0.2192795630571256,1.223546614822599,2.2373956915857254,0.8031496062992126,0.06299212598425197,0.9304873498842288,2.0002925269420873,1.3788020273145043,0.21131235429397516,0.013501759540790617,0.9829902002477142,drop_tail_samples,ridge
drop_tail_samples,gradient_boosted_trees,127,0.15339569801485986,0.9663013222421059,1.4464670992653752,0.8818897637795275,0.007874015748031496,0.729912950088494,1.286481802540814,0.8676867405662716,0.1150917290949222,-0.23569982517780413,3.5254671672818803,drop_tail_samples,gradient_boosted_trees
amplitude_only,ridge,127,0.43194235002813786,1.7845897542725182,2.1560934170869155,0.6929133858267716,0.031496062992125984,1.5716819469918304,2.3383423523925866,1.9594057166955967,0.5140007918456587,-0.24286408189168854,1.1106281349083638,amplitude_only,ridge
amplitude_only,gradient_boosted_trees,127,0.369136703682416,1.7821496525195761,2.025424506012133,0.7322834645669292,0.047244094488188976,1.3488431015251388,2.061930776040203,1.7932407953597578,0.4101542390926363,-0.22326131869139246,1.2647082881181309,amplitude_only,gradient_boosted_trees
waveform_shuffled_control,ridge,127,0.15784797293501285,1.624397786966109,1.8677342776272026,0.7637795275590551,0.031496062992125984,1.4850380351408663,1.8933288231152359,1.808545875313391,0.4296528759190591,-0.14916871793427894,1.273102133308766,waveform_shuffled_control,ridge
waveform_shuffled_control,gradient_boosted_trees,127,0.06866427357716454,1.6132759931912009,2.4385839920402113,0.7480314960629921,0.03937007874015748,1.3913940599849834,2.0116657801145648,2.193799335090266,0.7198095121006546,0.20776145032649962,1.645989296728289,waveform_shuffled_control,gradient_boosted_trees
