split,fold,fold_label,method,n_clusters,selector,train_rows,heldout_rows,device,epochs,final_loss,latent_dim
run,0,"32,40,47,49,52,63,64",traditional,7,train_BIC,25086,6321,,,,
run,0,"32,40,47,49,52,63,64",ml_autoencoder,7,train_BIC,25086,6321,cpu,8.0,0.7329556856836591,4.0
run,1,"34,44,45,51,53,58,62",traditional,5,kmeans_fallback,24891,6516,,,,
run,1,"34,44,45,51,53,58,62",ml_autoencoder,7,train_BIC,24891,6516,cpu,8.0,0.6704982689448765,4.0
run,2,"31,42,55,56,57,61",traditional,5,kmeans_fallback,25304,6103,,,,
run,2,"31,42,55,56,57,61",ml_autoencoder,7,train_BIC,25304,6103,cpu,8.0,0.7005900996071952,4.0
run,3,"35,37,41,48,60,65",traditional,7,train_BIC,25324,6083,,,,
run,3,"35,37,41,48,60,65",ml_autoencoder,7,train_BIC,25324,6083,cpu,8.0,0.7287057723317828,4.0
run,4,"33,36,39,46,50,54,59",traditional,7,train_BIC,25023,6384,,,,
run,4,"33,36,39,46,50,54,59",ml_autoencoder,7,train_BIC,25023,6384,cpu,8.0,0.7704986333847046,4.0
stave,0,B2,traditional,7,train_BIC,21507,9900,,,,
stave,0,B2,ml_autoencoder,7,train_BIC,21507,9900,cpu,8.0,0.8118635416030884,4.0
stave,1,B4,traditional,7,train_BIC,22374,9033,,,,
stave,1,B4,ml_autoencoder,7,train_BIC,22374,9033,cpu,8.0,0.8935546080271403,4.0
stave,2,B6,traditional,7,train_BIC,23398,8009,,,,
stave,2,B6,ml_autoencoder,7,train_BIC,23398,8009,cpu,8.0,0.7112801770369211,4.0
stave,3,B8,traditional,7,train_BIC,26942,4465,,,,
stave,3,B8,ml_autoencoder,7,train_BIC,26942,4465,cpu,8.0,0.8140952501978193,4.0
