method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
le500,2.0,train,11262,-1.3356114401036336,4.1728426264554965,6.916718440520688,0.21248446101935714,218.7025520067009,1.3548904161779425
le500,2.0,heldout,198,-2.0493670935837667,3.9726274193107756,4.010145019658937,0.20707070707070707,2.0979210883854167,0.8406468781894344
cfd10,2.0,train,11262,-2.7079688275300775,3.2322543162531985,6.841240621584095,0.04519623512697567,273.6532294360862,21.424576538294964
cfd10,2.0,heldout,198,-3.4451008565078567,3.0629045253402962,2.8649239922136607,0.03535353535353535,1.1495007250301263,1.5453931014483553
cfd20,2.0,train,11262,-2.7866963126832403,3.1489177557334376,6.247918260868378,0.05753862546616942,361.29870828288836,17.30763822934271
cfd20,2.0,heldout,198,-3.53533965096263,2.9933861916712807,2.7426839288126446,0.06565656565656566,1.080252995353314,0.9151422810042005
cfd30,2.0,train,11262,-2.6830112627752634,3.248187916243043,6.328506642476719,0.09021488190374712,271.3869670900939,16.287136310699232
cfd30,2.0,heldout,198,-3.303444011390951,2.988227268470215,2.7679334036667225,0.08080808080808081,1.2908880161954148,1.0905007353696827
cfd40,2.0,train,11262,-2.448163958119716,3.4136074578117164,6.415150230528003,0.11489966258213462,248.6589576820768,11.404008852105385
cfd40,2.0,heldout,198,-2.979142680863422,3.0263353811180798,2.923553927326153,0.09090909090909091,1.392925810942965,1.137858004022677
cfd50,2.0,train,11262,-2.1280167011408437,3.5994037050294807,6.973273415571774,0.14544485881726157,171.37657259508964,7.385776523490411
cfd50,2.0,heldout,198,-2.938161358114286,3.273311768824813,3.1056200609006472,0.12626262626262627,1.5463930561857002,1.1306562062080958
template_phase,2.0,train,11262,-3.8304301157923035,2.777183911488386,3.3235671374540225,0.09802876931273309,1.318892550999361,138.15324583473227
template_phase,2.0,heldout,198,-3.8304301157923035,2.889152765080617,2.576694889725475,0.050505050505050504,0.4426909975832632,3.2136307740985623
of_1_9,2.0,train,11262,-3.273199167148686,3.422784090209985,3.840927486580187,0.15920795595808915,164.20242358035844,15.053679629337346
of_1_9,2.0,heldout,198,-2.744638941322247,3.362250551988985,3.153961829364481,0.15151515151515152,2.507998112763741,1.5492591909660445
of_2_10,2.0,train,11262,-3.4148927818938155,3.4627347908471675,3.8873967685811786,0.16524595986503285,135.12579428110186,14.321671899119309
of_2_10,2.0,heldout,198,-2.844350996627089,3.5432740334312633,3.284118018890215,0.15151515151515152,0.700110842364047,1.3587431175245013
of_3_11,2.0,train,11262,-3.5940102117290706,3.452368627838441,3.9000457657727643,0.16577872491564552,6.060366929639311,14.089696275899165
of_3_11,2.0,heldout,198,-3.344046788509626,3.3185763785031255,2.9804589483669663,0.10101010101010101,1.5138929387842701,1.7723133456134406
