run,group,event_index,eventno,evt,stave,stave_idx,amplitude_adc,peak_sample,baseline_adc,ceiling_adc,true_amplitude_adc,true_t50,is_saturated
31,sample_i_calib,3189,394579,7875,B2,0,1903.5,7,6747.5,4200.0,1903.5,4.8336615562438965,0
31,sample_i_calib,3241,394631,7921,B8,3,2645.0,11,6910.0,2400.0,2645.0,9.095695495605469,1
31,sample_i_calib,3384,394774,8055,B2,0,3052.0,7,6750.0,3200.0,3052.0,4.498565196990967,0
31,sample_i_calib,3612,395002,8268,B2,0,6551.5,6,6745.5,4200.0,6551.5,4.668445110321045,1
31,sample_i_calib,3624,395014,8279,B4,1,2258.5,6,7037.5,2400.0,2258.5,4.243610382080078,0
31,sample_i_calib,3624,395014,8279,B6,2,2540.0,7,6957.0,3200.0,2540.0,4.823135852813721,0
31,sample_i_calib,3669,395059,8321,B6,2,1940.0,6,6914.0,4200.0,1940.0,4.175552845001221,0
31,sample_i_calib,3685,395075,8337,B2,0,4404.5,7,6757.5,2400.0,4404.5,5.7141876220703125,1
31,sample_i_calib,3771,395161,8415,B4,1,2730.5,9,7056.5,3200.0,2730.5,7.069622993469238,0
31,sample_i_calib,3779,395169,8423,B4,1,2232.0,7,7007.0,4200.0,2232.0,4.708333492279053,0
31,sample_i_calib,3967,395357,8591,B2,0,4419.5,6,6757.5,2400.0,4419.5,4.735461235046387,1
31,sample_i_calib,4033,395423,8652,B4,1,5387.5,10,7033.5,3200.0,5387.5,8.70486068725586,1
31,sample_i_calib,4188,395578,8798,B4,1,5551.5,7,7039.5,4200.0,5551.5,5.5222368240356445,1
31,sample_i_calib,4430,395820,9024,B4,1,3594.5,7,7017.5,2400.0,3594.5,5.309084892272949,1
31,sample_i_calib,4518,395908,9106,B2,0,6488.5,6,7538.5,3200.0,6488.5,4.674576282501221,1
31,sample_i_calib,4776,396166,9344,B4,1,4657.0,4,7300.0,4200.0,4657.0,2.6928093433380127,1
31,sample_i_calib,4815,396205,9381,B6,2,3639.5,7,6911.5,2400.0,3639.5,5.704888343811035,1
31,sample_i_calib,4937,396327,9495,B2,0,3661.5,7,6720.5,3200.0,3661.5,4.896144866943359,1
31,sample_i_calib,5233,396623,9777,B4,1,2934.0,6,7018.0,4200.0,2934.0,4.509265422821045,0
31,sample_i_calib,5407,396797,9946,B4,1,1708.5,7,7034.5,2400.0,1708.5,4.350260257720947,0
31,sample_i_calib,5545,396935,10078,B2,0,6869.0,6,6765.0,3200.0,6869.0,4.405770301818848,1
31,sample_i_calib,5576,396966,10107,B2,0,3492.0,10,6750.0,4200.0,3492.0,8.434304237365723,0
31,sample_i_calib,5727,397117,10247,B2,0,4336.0,6,6752.0,2400.0,4336.0,4.788763046264648,1
31,sample_i_calib,5873,397263,10387,B8,3,1384.0,7,6892.0,3200.0,1384.0,4.43403434753418,0
31,sample_i_calib,5922,397312,10433,B2,0,2505.5,8,6752.5,4200.0,2505.5,5.523820400238037,0
31,sample_i_calib,6043,397433,10546,B2,0,3809.5,6,6835.5,2400.0,3809.5,4.392163276672363,1
31,sample_i_calib,6106,397496,10602,B2,0,6041.0,6,6751.0,3200.0,6041.0,4.415324687957764,1
31,sample_i_calib,6148,397538,10643,B6,2,3249.0,8,6977.0,4200.0,3249.0,6.252780914306641,0
31,sample_i_calib,6148,397538,10643,B8,3,4699.0,8,6871.0,2400.0,4699.0,6.208240985870361,1
31,sample_i_calib,6237,397627,10726,B2,0,4064.0,6,6725.0,3200.0,4064.0,4.221903324127197,1
31,sample_i_calib,6486,397876,10955,B4,1,3333.5,11,7013.5,4200.0,3333.5,9.235516548156738,0
31,sample_i_calib,6515,397905,10982,B6,2,4064.5,6,6948.5,2400.0,4064.5,4.554605960845947,1
31,sample_i_calib,6535,397925,11001,B4,1,3600.0,10,7046.0,3200.0,3600.0,8.832411766052246,1
31,sample_i_calib,6730,398120,11184,B6,2,1334.5,7,6946.5,4200.0,1334.5,4.783467769622803,0
31,sample_i_calib,6848,398238,11296,B2,0,3687.5,7,6747.5,2400.0,3687.5,5.34225606918335,1
31,sample_i_calib,6923,398313,11366,B6,2,2948.0,8,6922.0,3200.0,2948.0,5.713962078094482,0
31,sample_i_calib,7273,398663,11693,B4,1,1643.5,7,7024.5,4200.0,1643.5,4.733821392059326,0
31,sample_i_calib,7331,398721,11745,B4,1,3283.0,9,7033.0,2400.0,3283.0,7.311556339263916,1
31,sample_i_calib,7331,398721,11745,B6,2,2142.5,10,6941.5,3200.0,2142.5,8.008731842041016,0
31,sample_i_calib,7378,398768,11790,B6,2,4150.0,6,6935.0,4200.0,4150.0,5.210726737976074,0
31,sample_i_calib,7425,398815,11831,B6,2,2582.5,4,7375.5,2400.0,2582.5,2.545128107070923,1
31,sample_i_calib,7517,398907,11915,B6,2,1703.5,11,6952.5,3200.0,1703.5,8.97145938873291,0
31,sample_i_calib,7517,398907,11915,B8,3,2381.0,11,6868.0,4200.0,2381.0,9.099224090576172,0
31,sample_i_calib,7547,398937,11944,B8,3,2711.5,7,6911.5,2400.0,2711.5,4.918900012969971,1
31,sample_i_calib,7578,398968,11974,B4,1,2876.5,6,7039.5,3200.0,2876.5,4.603396892547607,0
31,sample_i_calib,7578,398968,11974,B6,2,2974.5,7,6939.5,4200.0,2974.5,5.283806800842285,0
31,sample_i_calib,7578,398968,11974,B8,3,3309.0,7,6940.0,2400.0,3309.0,5.069083213806152,1
31,sample_i_calib,7585,398975,11981,B4,1,2147.0,5,7383.0,3200.0,2147.0,2.7056872844696045,0
31,sample_i_calib,7585,398975,11981,B8,3,2935.5,8,7097.5,4200.0,2935.5,2.9374537467956543,0
31,sample_i_calib,7684,399074,12076,B4,1,3080.0,5,7032.0,2400.0,3080.0,3.738696813583374,1
31,sample_i_calib,7684,399074,12076,B6,2,2651.0,7,6944.0,3200.0,2651.0,4.67226505279541,0
31,sample_i_calib,7720,399110,12109,B8,3,3419.0,11,6887.0,4200.0,3419.0,9.993159294128418,0
31,sample_i_calib,7867,399258,12250,B4,1,5617.5,5,7038.5,2400.0,5617.5,3.638266086578369,1
31,sample_i_calib,8126,399517,12481,B4,1,2435.5,10,7026.5,3200.0,2435.5,7.700802326202393,0
31,sample_i_calib,8146,399537,12501,B2,0,6345.0,6,6750.0,4200.0,6345.0,4.482097148895264,1
31,sample_i_calib,8435,399826,12776,B4,1,3043.0,9,7032.0,2400.0,3043.0,3.9852824211120605,1
31,sample_i_calib,8498,399889,12838,B4,1,3026.0,4,7278.0,3200.0,3026.0,2.778313159942627,0
31,sample_i_calib,8498,399889,12838,B6,2,4726.0,5,7012.0,4200.0,4726.0,3.171215772628784,1
31,sample_i_calib,8514,399905,12854,B8,3,2227.5,7,6882.5,2400.0,2227.5,5.062008857727051,0
31,sample_i_calib,8542,399933,12880,B2,0,4017.5,5,6739.5,3200.0,4017.5,4.109991073608398,1
31,sample_i_calib,8938,400329,13256,B2,0,5235.5,6,6767.5,4200.0,5235.5,4.531453609466553,1
31,sample_i_calib,8950,400341,13267,B4,1,3565.0,9,7008.0,2400.0,3565.0,7.234513282775879,1
31,sample_i_calib,8950,400341,13267,B6,2,2832.0,10,6950.0,3200.0,2832.0,7.878934860229492,0
31,sample_i_calib,8979,400370,13296,B2,0,5585.0,6,6757.0,4200.0,5585.0,4.605328559875488,1
31,sample_i_calib,9136,400527,13439,B2,0,6642.5,6,6732.5,2400.0,6642.5,4.786645889282227,1
31,sample_i_calib,9211,400602,13508,B4,1,3510.0,10,7041.0,3200.0,3510.0,8.779264450073242,1
31,sample_i_calib,9562,400953,13838,B6,2,5312.0,11,6928.0,4200.0,5312.0,9.819845199584961,1
31,sample_i_calib,9642,401033,13915,B2,0,2646.5,8,6728.5,2400.0,2646.5,5.729251861572266,1
31,sample_i_calib,10150,401541,14387,B2,0,6960.5,5,6800.5,3200.0,6960.5,4.071685791015625,1
31,sample_i_calib,10203,401594,14436,B4,1,2245.5,4,7600.5,4200.0,2245.5,2.513822078704834,0
31,sample_i_calib,10203,401594,14436,B6,2,2163.5,5,7109.5,2400.0,2163.5,2.94486403465271,0
31,sample_i_calib,10326,401717,14551,B6,2,3266.0,7,6980.0,3200.0,3266.0,5.464971542358398,1
31,sample_i_calib,10480,401871,14700,B2,0,6439.5,6,6764.5,4200.0,6439.5,4.641718864440918,1
31,sample_i_calib,10510,401901,14728,B4,1,2796.0,6,7073.0,2400.0,2796.0,3.9725022315979004,1
31,sample_i_calib,10598,401989,14811,B4,1,3384.0,6,7017.0,3200.0,3384.0,4.220645904541016,1
31,sample_i_calib,10779,402170,14983,B4,1,3004.0,9,7042.0,4200.0,3004.0,4.933599948883057,0
31,sample_i_calib,10892,402283,15092,B2,0,4099.0,6,6777.0,2400.0,4099.0,4.684674263000488,1
31,sample_i_calib,11080,402471,15263,B6,2,4179.0,6,6911.0,3200.0,4179.0,4.613541603088379,1
31,sample_i_calib,11090,402481,15272,B4,1,4198.0,5,7050.0,4200.0,4198.0,3.7374253273010254,0
31,sample_i_calib,11102,402493,15284,B6,2,2475.5,6,6925.5,2400.0,2475.5,3.7936792373657227,1
31,sample_i_calib,11112,402503,15292,B6,2,2800.5,8,6953.5,3200.0,2800.5,5.831299304962158,0
31,sample_i_calib,11112,402503,15292,B8,3,3168.0,11,6916.0,4200.0,3168.0,5.901785850524902,0
31,sample_i_calib,11121,402512,15300,B2,0,4941.5,7,6769.5,2400.0,4941.5,5.510386943817139,1
31,sample_i_calib,11354,402745,15515,B8,3,3430.0,10,6876.0,3200.0,3430.0,8.172703742980957,1
31,sample_i_calib,11510,402901,15660,B4,1,2586.0,6,7031.0,4200.0,2586.0,3.7345051765441895,0
31,sample_i_calib,11532,402923,15680,B6,2,3722.0,7,6938.0,2400.0,3722.0,5.337741851806641,1
31,sample_i_calib,11614,403005,15760,B8,3,2650.5,5,7087.5,3200.0,2650.5,2.918760061264038,0
31,sample_i_calib,11816,403207,15951,B6,2,3374.5,6,6957.5,4200.0,3374.5,4.627832889556885,0
31,sample_i_calib,11904,403295,16035,B4,1,3768.0,6,7026.0,2400.0,3768.0,4.948657989501953,1
31,sample_i_calib,11954,403345,16081,B2,0,2588.5,6,6786.5,3200.0,2588.5,4.3034467697143555,0
31,sample_i_calib,12124,403515,16238,B2,0,2181.0,8,6735.0,4200.0,2181.0,5.830760955810547,0
31,sample_i_calib,12740,404131,422,B2,0,4431.0,6,6797.0,2400.0,4431.0,4.44804048538208,1
31,sample_i_calib,12818,404209,495,B2,0,6928.0,6,6754.0,3200.0,6928.0,4.44071626663208,1
31,sample_i_calib,13059,404450,717,B4,1,3051.5,9,7049.5,4200.0,3051.5,4.764153957366943,0
31,sample_i_calib,13069,404460,726,B2,0,5181.0,5,6821.0,2400.0,5181.0,3.9291536808013916,1
31,sample_i_calib,13104,404495,758,B6,2,1991.5,7,6939.5,3200.0,1991.5,4.621137619018555,0
31,sample_i_calib,13104,404495,758,B8,3,2787.5,6,6890.5,4200.0,2787.5,4.442963600158691,0
31,sample_i_calib,13260,404651,905,B6,2,1942.0,5,7008.0,2400.0,1942.0,3.1842105388641357,0
31,sample_i_calib,13274,404665,916,B2,0,4067.0,5,6742.0,3200.0,4067.0,3.855217933654785,1
31,sample_i_calib,13278,404669,920,B4,1,3033.0,7,7041.0,4200.0,3033.0,5.204831123352051,0
31,sample_i_calib,13309,404700,949,B8,3,3842.0,9,6883.0,2400.0,3842.0,7.376241683959961,1
31,sample_i_calib,13330,404721,967,B2,0,4893.0,5,6745.0,3200.0,4893.0,4.073646545410156,1
31,sample_i_calib,13410,404801,1042,B4,1,4415.5,7,7023.5,4200.0,4415.5,5.5938568115234375,1
31,sample_i_calib,13509,404900,1130,B2,0,4194.0,7,6757.0,2400.0,4194.0,5.423274040222168,1
31,sample_i_calib,13794,405185,1394,B4,1,3370.0,7,7000.0,3200.0,3370.0,5.170984268188477,1
31,sample_i_calib,13961,405352,1545,B8,3,2636.5,7,6896.5,4200.0,2636.5,5.22733211517334,0
31,sample_i_calib,13962,405353,1546,B2,0,4813.5,6,6734.5,2400.0,4813.5,4.181516647338867,1
31,sample_i_calib,14321,405713,1879,B6,2,2963.0,8,6966.0,3200.0,2963.0,6.098018169403076,0
31,sample_i_calib,14435,405827,1987,B4,1,2241.5,4,7632.5,4200.0,2241.5,2.5218992233276367,0
31,sample_i_calib,14435,405827,1987,B6,2,2538.0,5,7081.0,2400.0,2538.0,3.130000114440918,1
31,sample_i_calib,14486,405878,2036,B4,1,4145.0,9,7019.0,3200.0,4145.0,7.161441802978516,1
31,sample_i_calib,14881,406273,2408,B6,2,3678.0,6,6928.0,4200.0,3678.0,4.611804008483887,0
31,sample_i_calib,14920,406312,2443,B2,0,5878.0,6,6739.0,2400.0,5878.0,4.794163227081299,1
31,sample_i_calib,15085,406477,2595,B4,1,3147.5,8,7043.5,3200.0,3147.5,3.6709706783294678,0
31,sample_i_calib,15144,406536,2649,B4,1,4697.5,4,7875.5,4200.0,4697.5,2.442652702331543,1
31,sample_i_calib,15209,406601,2708,B2,0,5448.0,7,6765.0,2400.0,5448.0,5.344205856323242,1
31,sample_i_calib,15252,406644,2746,B6,2,4580.5,7,6938.5,3200.0,4580.5,5.812756061553955,1
31,sample_i_calib,15256,406648,2750,B8,3,2975.5,10,6894.5,4200.0,2975.5,5.830638885498047,0
31,sample_i_calib,15533,406925,3003,B8,3,2266.0,6,6899.0,2400.0,2266.0,3.9102416038513184,0
31,sample_i_calib,15599,406991,3063,B4,1,3008.0,9,7029.0,3200.0,3008.0,4.677443504333496,0
31,sample_i_calib,15606,406998,3070,B8,3,2317.0,7,6878.0,4200.0,2317.0,5.312437534332275,0
31,sample_i_calib,15623,407015,3087,B8,3,1726.0,10,6918.0,2400.0,1726.0,7.2267656326293945,0
31,sample_i_calib,15669,407061,3127,B2,0,6777.0,5,6746.0,3200.0,6777.0,3.861149549484253,1
31,sample_i_calib,15678,407070,3136,B6,2,2905.5,7,6975.5,4200.0,2905.5,5.200036525726318,0
31,sample_i_calib,15840,407232,3285,B8,3,2586.0,7,6890.0,2400.0,2586.0,4.828571319580078,1
31,sample_i_calib,15842,407234,3287,B4,1,2869.0,9,7039.0,3200.0,2869.0,5.0292510986328125,0
31,sample_i_calib,15885,407277,3325,B4,1,3538.5,7,7065.5,4200.0,3538.5,5.421812057495117,0
31,sample_i_calib,15971,407363,3406,B4,1,2967.5,11,6999.5,2400.0,2967.5,6.807021141052246,1
31,sample_i_calib,15971,407363,3406,B6,2,3241.0,9,6915.0,3200.0,3241.0,7.3244829177856445,1
31,sample_i_calib,16002,407394,3436,B2,0,5834.5,6,6747.5,4200.0,5834.5,4.589173316955566,1
31,sample_i_calib,16184,407576,3609,B8,3,1937.0,10,6895.0,2400.0,1937.0,7.268377304077148,0
31,sample_i_calib,16288,407680,3708,B4,1,3926.5,4,8457.5,3200.0,3926.5,2.2912843227386475,1
31,sample_i_calib,16313,407705,3733,B8,3,4022.0,8,6910.0,4200.0,4022.0,6.658005237579346,0
31,sample_i_calib,16420,407812,3827,B6,2,3489.0,7,6955.0,2400.0,3489.0,5.366256237030029,1
31,sample_i_calib,16538,407930,3966,B2,0,6123.0,5,6741.0,3200.0,6123.0,3.793325662612915,1
31,sample_i_calib,16959,408351,4359,B2,0,4476.0,6,6765.0,4200.0,4476.0,4.4576568603515625,1
31,sample_i_calib,16966,408358,4366,B2,0,6879.0,6,6740.0,2400.0,6879.0,4.390518665313721,1
31,sample_i_calib,17024,408416,4418,B2,0,4692.0,6,10469.0,3200.0,4692.0,4.5863823890686035,1
31,sample_i_calib,17174,408566,4551,B4,1,5605.5,8,7017.5,4200.0,5605.5,6.627276420593262,1
31,sample_i_calib,17190,408582,4565,B4,1,3995.0,10,7034.0,2400.0,3995.0,8.721183776855469,1
31,sample_i_calib,17214,408606,4585,B4,1,3784.5,11,7021.5,3200.0,3784.5,9.845718383789062,1
31,sample_i_calib,17316,408708,4685,B6,2,5001.0,5,6949.0,4200.0,5001.0,3.5498476028442383,1
31,sample_i_calib,17454,408846,4812,B6,2,2172.0,8,6912.0,2400.0,2172.0,5.490395545959473,0
31,sample_i_calib,17527,408919,4876,B4,1,4733.0,6,7013.0,3200.0,4733.0,4.609577178955078,1
31,sample_i_calib,17623,409015,4968,B4,1,3782.0,5,7004.0,4200.0,3782.0,3.4839842319488525,0
31,sample_i_calib,17795,409187,5130,B4,1,3023.5,6,7022.5,2400.0,3023.5,4.211397171020508,1
31,sample_i_calib,17871,409263,5201,B4,1,2922.0,8,7096.0,3200.0,2922.0,3.7973804473876953,0
31,sample_i_calib,18202,409594,5510,B2,0,6239.5,6,6771.5,4200.0,6239.5,4.373224258422852,1
31,sample_i_calib,18235,409627,5541,B4,1,2343.0,4,7662.0,2400.0,2343.0,2.45621657371521,0
31,sample_i_calib,18378,409770,5676,B6,2,4417.5,7,6962.5,3200.0,4417.5,5.473717212677002,1
31,sample_i_calib,18400,409792,5697,B2,0,6762.5,5,6780.5,4200.0,6762.5,3.9968068599700928,1
31,sample_i_calib,18692,410085,5970,B6,2,3478.0,8,6936.0,2400.0,3478.0,6.280991554260254,1
31,sample_i_calib,18762,410155,6035,B2,0,6368.0,6,6761.0,3200.0,6368.0,4.334538459777832,1
31,sample_i_calib,18815,410208,6085,B4,1,2369.0,7,7014.0,4200.0,2369.0,5.091541767120361,0
31,sample_i_calib,19014,410407,6273,B6,2,3656.0,6,6964.0,2400.0,3656.0,4.387444019317627,1
31,sample_i_calib,19061,410454,6318,B2,0,2404.5,8,6775.5,3200.0,2404.5,6.0186238288879395,0
31,sample_i_calib,19128,410521,6383,B2,0,3793.0,7,6759.0,4200.0,3793.0,5.195780277252197,0
31,sample_i_calib,19197,410590,6447,B2,0,3658.5,6,6789.5,2400.0,3658.5,4.3585968017578125,1
31,sample_i_calib,19309,410702,6546,B2,0,6154.5,5,6762.5,3200.0,6154.5,3.679391860961914,1
31,sample_i_calib,19417,410810,6648,B6,2,3273.5,11,6971.5,4200.0,3273.5,9.678529739379883,0
31,sample_i_calib,19438,410831,6666,B8,3,1729.0,7,6876.0,2400.0,1729.0,4.7041778564453125,0
31,sample_i_calib,19503,410896,6722,B6,2,3813.5,7,6943.5,3200.0,3813.5,5.351215839385986,1
31,sample_i_calib,19524,410917,6742,B2,0,5145.5,5,6756.5,4200.0,5145.5,3.761406183242798,1
31,sample_i_calib,19607,411000,6822,B6,2,3010.5,5,6938.5,2400.0,3010.5,3.692843198776245,1
31,sample_i_calib,19699,411092,6907,B2,0,6789.0,6,6739.0,3200.0,6789.0,4.548196792602539,1
31,sample_i_calib,19787,411180,6984,B6,2,2393.5,7,6936.5,4200.0,2393.5,4.737538814544678,0
31,sample_i_calib,19825,411218,7020,B2,0,3323.0,6,6762.0,2400.0,3323.0,4.180882453918457,1
31,sample_i_calib,19840,411233,7034,B2,0,2283.5,7,6758.5,3200.0,2283.5,4.927707195281982,0
31,sample_i_calib,20219,411612,7392,B4,1,2637.0,7,7283.0,4200.0,2637.0,2.9095237255096436,0
31,sample_i_calib,20219,411612,7392,B6,2,2389.0,6,6966.0,2400.0,2389.0,3.3050284385681152,0
31,sample_i_calib,20257,411650,7428,B2,0,3420.0,7,6749.0,3200.0,3420.0,5.48488187789917,1
31,sample_i_calib,20342,411735,7507,B4,1,2742.0,5,7099.0,4200.0,2742.0,3.250587224960327,0
31,sample_i_calib,20342,411735,7507,B6,2,1316.0,7,6939.0,2400.0,1316.0,3.7666666507720947,0
31,sample_i_calib,20409,411802,7567,B8,3,1524.5,7,6914.5,3200.0,1524.5,4.880762577056885,0
31,sample_i_calib,20468,411861,7621,B2,0,4190.0,5,6801.0,4200.0,4190.0,3.298600196838379,0
31,sample_i_calib,20513,411906,7661,B4,1,2858.5,7,7006.5,2400.0,2858.5,5.25039529800415,1
31,sample_i_calib,20514,411907,7662,B4,1,2774.0,7,6990.0,3200.0,2774.0,5.1148481369018555,0
31,sample_i_calib,20514,411907,7662,B6,2,2832.5,8,6935.5,4200.0,2832.5,5.6720404624938965,0
31,sample_i_calib,20514,411907,7662,B8,3,2774.5,8,6894.5,2400.0,2774.5,5.784119606018066,1
31,sample_i_calib,20598,411991,7742,B2,0,6433.5,5,6739.5,3200.0,6433.5,3.781040668487549,1
31,sample_i_calib,20885,412278,8010,B4,1,5423.5,6,7049.5,4200.0,5423.5,4.584762096405029,1
31,sample_i_calib,21003,412396,8112,B4,1,3050.0,6,7046.0,2400.0,3050.0,4.104319095611572,1
31,sample_i_calib,21003,412396,8112,B6,2,3370.0,6,6955.0,3200.0,3370.0,4.4964752197265625,1
31,sample_i_calib,21011,412404,8119,B2,0,6671.5,6,6749.5,4200.0,6671.5,4.309621334075928,1
31,sample_i_calib,21106,412499,8206,B2,0,6624.0,6,6749.0,2400.0,6624.0,4.539646148681641,1
31,sample_i_calib,21235,412628,8322,B4,1,3448.5,5,7060.5,3200.0,3448.5,3.544186592102051,1
31,sample_i_calib,21277,412670,8360,B4,1,2781.5,11,7043.5,4200.0,2781.5,8.812602043151855,0
31,sample_i_calib,21525,412918,8590,B8,3,3779.5,5,6889.5,2400.0,3779.5,3.495986223220825,1
31,sample_i_calib,21532,412925,8597,B6,2,3693.0,7,6942.0,3200.0,3693.0,5.184734344482422,1
31,sample_i_calib,21864,413257,8930,B2,0,4783.5,5,10788.5,4200.0,4783.5,4.114166736602783,1
31,sample_i_calib,21949,413342,9011,B2,0,2726.5,6,6751.5,2400.0,2726.5,4.353732109069824,1
31,sample_i_calib,22089,413482,9139,B6,2,2349.5,10,6950.5,3200.0,2349.5,8.044696807861328,0
31,sample_i_calib,22137,413530,9184,B2,0,3516.5,7,6744.5,4200.0,3516.5,5.453971862792969,0
31,sample_i_calib,22315,413708,9354,B4,1,5057.5,6,7038.5,2400.0,5057.5,4.318449020385742,1
31,sample_i_calib,22455,413848,9481,B2,0,2132.0,8,6726.0,3200.0,2132.0,6.030769348144531,0
31,sample_i_calib,22677,414070,9687,B6,2,2035.5,8,6951.5,4200.0,2035.5,5.982056140899658,0
31,sample_i_calib,22677,414070,9687,B8,3,2557.5,9,6876.5,2400.0,2557.5,6.184967041015625,1
31,sample_i_calib,22802,414195,9802,B2,0,5379.5,7,7966.5,3200.0,5379.5,5.405965328216553,1
31,sample_i_calib,22854,414247,9850,B2,0,6499.5,6,6739.5,4200.0,6499.5,4.501324653625488,1
31,sample_i_calib,22906,414299,9898,B6,2,3470.5,5,6968.5,2400.0,3470.5,3.2818424701690674,1
31,sample_i_calib,22954,414347,9944,B2,0,2808.5,7,6803.5,3200.0,2808.5,5.331279754638672,0
31,sample_i_calib,23057,414450,10040,B6,2,3705.5,8,6942.5,4200.0,3705.5,6.397003173828125,0
31,sample_i_calib,23148,414541,10126,B6,2,2316.5,4,7769.5,2400.0,2316.5,2.3281760215759277,0
31,sample_i_calib,23336,414729,10297,B8,3,3878.5,6,6898.5,3200.0,3878.5,4.63677978515625,1
31,sample_i_calib,23387,414780,10344,B4,1,2854.0,9,7032.0,4200.0,2854.0,7.347733497619629,0
