mode,family,run,method,n_events,sigma68_ns,n_pair_residuals
b2_included,all_six,58,base,72,3.6456856104104385,432
b2_included,all_six,58,traditional,72,2.6380874730068475,432
b2_included,all_six,58,ridge,72,3.0758651725482298,432
b2_included,all_six,58,ridge_shuffled,72,4.324028713338416,432
b2_included,all_six,58,gradient_boosted_trees,72,2.819730846241286,432
b2_included,all_six,58,gradient_boosted_trees_shuffled,72,4.818616879461054,432
b2_included,all_six,58,mlp,72,3.425982560582805,432
b2_included,all_six,58,mlp_shuffled,72,5.235886115985946,432
b2_included,all_six,58,cnn1d,72,2.7242372032800244,432
b2_included,all_six,58,cnn1d_shuffled,72,3.6760430179347234,432
b2_included,all_six,58,event_token_attention,72,2.5784051204306375,432
b2_included,all_six,58,event_token_attention_shuffled,72,3.278036200492526,432
b2_included,b2_containing,58,base,72,6.297740042673771,216
b2_included,b2_containing,58,traditional,72,6.365541063634097,216
b2_included,b2_containing,58,ridge,72,6.301657586172601,216
b2_included,b2_containing,58,ridge_shuffled,72,6.3207671342126055,216
b2_included,b2_containing,58,gradient_boosted_trees,72,3.6590473573870392,216
b2_included,b2_containing,58,gradient_boosted_trees_shuffled,72,6.870206430019373,216
b2_included,b2_containing,58,mlp,72,5.34432588653037,216
b2_included,b2_containing,58,mlp_shuffled,72,7.3023229172796364,216
b2_included,b2_containing,58,cnn1d,72,5.259695708723946,216
b2_included,b2_containing,58,cnn1d_shuffled,72,6.311767642827365,216
b2_included,b2_containing,58,event_token_attention,72,5.143141969720277,216
b2_included,b2_containing,58,event_token_attention_shuffled,72,5.676335440728165,216
b2_included,downstream_only,58,base,72,2.707043244712787,216
b2_included,downstream_only,58,traditional,72,1.741371094383645,216
b2_included,downstream_only,58,ridge,72,1.8147387990509705,216
b2_included,downstream_only,58,ridge_shuffled,72,3.066095855908311,216
b2_included,downstream_only,58,gradient_boosted_trees,72,2.3536986594903544,216
b2_included,downstream_only,58,gradient_boosted_trees_shuffled,72,3.848769993362656,216
b2_included,downstream_only,58,mlp,72,2.5574475799590317,216
b2_included,downstream_only,58,mlp_shuffled,72,4.228523407706539,216
b2_included,downstream_only,58,cnn1d,72,1.9974449938933942,216
b2_included,downstream_only,58,cnn1d_shuffled,72,2.7289677913011325,216
b2_included,downstream_only,58,event_token_attention,72,1.8385679134835797,216
b2_included,downstream_only,58,event_token_attention_shuffled,72,2.8015422248219104,216
b2_included,all_six,59,base,749,3.233943961531061,4494
b2_included,all_six,59,traditional,749,2.4638441242745692,4494
b2_included,all_six,59,ridge,749,2.5584577087764537,4494
b2_included,all_six,59,ridge_shuffled,749,3.9545161484156788,4494
b2_included,all_six,59,gradient_boosted_trees,749,2.7667846453585048,4494
b2_included,all_six,59,gradient_boosted_trees_shuffled,749,4.712878709460107,4494
b2_included,all_six,59,mlp,749,2.745171173311456,4494
b2_included,all_six,59,mlp_shuffled,749,4.198554851573066,4494
b2_included,all_six,59,cnn1d,749,2.493471184641428,4494
b2_included,all_six,59,cnn1d_shuffled,749,3.2375122065624975,4494
b2_included,all_six,59,event_token_attention,749,2.4074074783218085,4494
b2_included,all_six,59,event_token_attention_shuffled,749,3.1759748157929266,4494
b2_included,b2_containing,59,base,749,3.8951763812431084,2247
b2_included,b2_containing,59,traditional,749,2.9490856144598867,2247
b2_included,b2_containing,59,ridge,749,2.995042335129668,2247
b2_included,b2_containing,59,ridge_shuffled,749,4.769293187287812,2247
b2_included,b2_containing,59,gradient_boosted_trees,749,3.187319646146148,2247
b2_included,b2_containing,59,gradient_boosted_trees_shuffled,749,5.528749035671405,2247
b2_included,b2_containing,59,mlp,749,3.8767695440194547,2247
b2_included,b2_containing,59,mlp_shuffled,749,4.932337679950042,2247
b2_included,b2_containing,59,cnn1d,749,2.9798993733343453,2247
b2_included,b2_containing,59,cnn1d_shuffled,749,3.909334609685694,2247
b2_included,b2_containing,59,event_token_attention,749,3.2525042586377366,2247
b2_included,b2_containing,59,event_token_attention_shuffled,749,3.748466395349662,2247
b2_included,downstream_only,59,base,749,2.8329588920828535,2247
b2_included,downstream_only,59,traditional,749,1.952438815954629,2247
b2_included,downstream_only,59,ridge,749,1.6469275653357427,2247
b2_included,downstream_only,59,ridge_shuffled,749,3.6029282812036474,2247
b2_included,downstream_only,59,gradient_boosted_trees,749,2.1955398749291266,2247
b2_included,downstream_only,59,gradient_boosted_trees_shuffled,749,4.343406591870548,2247
b2_included,downstream_only,59,mlp,749,1.9457110843114576,2247
b2_included,downstream_only,59,mlp_shuffled,749,3.8779596272532046,2247
b2_included,downstream_only,59,cnn1d,749,2.0952772854011523,2247
b2_included,downstream_only,59,cnn1d_shuffled,749,2.9794140474026554,2247
b2_included,downstream_only,59,event_token_attention,749,1.796998564002239,2247
b2_included,downstream_only,59,event_token_attention_shuffled,749,2.8885175194730497,2247
b2_included,all_six,60,base,802,3.014569480503283,4812
b2_included,all_six,60,traditional,802,2.048069976675759,4812
b2_included,all_six,60,ridge,802,2.440638773638325,4812
b2_included,all_six,60,ridge_shuffled,802,3.5059528028810933,4812
b2_included,all_six,60,gradient_boosted_trees,802,2.7044449062130305,4812
b2_included,all_six,60,gradient_boosted_trees_shuffled,802,4.311886556318342,4812
b2_included,all_six,60,mlp,802,2.807008633271609,4812
b2_included,all_six,60,mlp_shuffled,802,4.012906305360253,4812
b2_included,all_six,60,cnn1d,802,2.159883475310835,4812
b2_included,all_six,60,cnn1d_shuffled,802,3.0301672141372387,4812
b2_included,all_six,60,event_token_attention,802,1.9701762081367513,4812
b2_included,all_six,60,event_token_attention_shuffled,802,2.9218630131522847,4812
b2_included,b2_containing,60,base,802,2.9026478460426133,2406
b2_included,b2_containing,60,traditional,802,2.282927740423599,2406
b2_included,b2_containing,60,ridge,802,2.76639129110978,2406
b2_included,b2_containing,60,ridge_shuffled,802,3.754299180551536,2406
b2_included,b2_containing,60,gradient_boosted_trees,802,2.5854774066851225,2406
b2_included,b2_containing,60,gradient_boosted_trees_shuffled,802,4.312564639276825,2406
b2_included,b2_containing,60,mlp,802,3.1062342705416013,2406
b2_included,b2_containing,60,mlp_shuffled,802,4.029110905246842,2406
b2_included,b2_containing,60,cnn1d,802,2.172283476806207,2406
b2_included,b2_containing,60,cnn1d_shuffled,802,3.0427729645350587,2406
b2_included,b2_containing,60,event_token_attention,802,2.1111622563329395,2406
b2_included,b2_containing,60,event_token_attention_shuffled,802,2.9308936465401008,2406
b2_included,downstream_only,60,base,802,2.7944747866505857,2406
b2_included,downstream_only,60,traditional,802,1.8831850406399973,2406
b2_included,downstream_only,60,ridge,802,1.6422018991266412,2406
b2_included,downstream_only,60,ridge_shuffled,802,3.211129433610031,2406
b2_included,downstream_only,60,gradient_boosted_trees,802,2.385839579774118,2406
b2_included,downstream_only,60,gradient_boosted_trees_shuffled,802,4.374150729550959,2406
b2_included,downstream_only,60,mlp,802,2.236340718870925,2406
b2_included,downstream_only,60,mlp_shuffled,802,3.985212372977089,2406
b2_included,downstream_only,60,cnn1d,802,2.1350999157780493,2406
b2_included,downstream_only,60,cnn1d_shuffled,802,2.962567636634973,2406
b2_included,downstream_only,60,event_token_attention,802,1.7955885902400848,2406
b2_included,downstream_only,60,event_token_attention_shuffled,802,2.8430101731546387,2406
b2_included,all_six,61,base,925,2.8186463915967837,5550
b2_included,all_six,61,traditional,925,2.182377813173951,5550
b2_included,all_six,61,ridge,925,2.3923462377916107,5550
b2_included,all_six,61,ridge_shuffled,925,3.2559933608834877,5550
b2_included,all_six,61,gradient_boosted_trees,925,2.6627270293602154,5550
b2_included,all_six,61,gradient_boosted_trees_shuffled,925,4.140970998928643,5550
b2_included,all_six,61,mlp,925,2.6652235446213104,5550
b2_included,all_six,61,mlp_shuffled,925,3.5367414736062806,5550
b2_included,all_six,61,cnn1d,925,2.12527354290527,5550
b2_included,all_six,61,cnn1d_shuffled,925,2.6781089632078183,5550
b2_included,all_six,61,event_token_attention,925,1.855471591927706,5550
b2_included,all_six,61,event_token_attention_shuffled,925,2.693738088468892,5550
b2_included,b2_containing,61,base,925,2.5804802974395185,2775
b2_included,b2_containing,61,traditional,925,2.3102096154518894,2775
b2_included,b2_containing,61,ridge,925,2.6130340451293534,2775
b2_included,b2_containing,61,ridge_shuffled,925,3.294761846696188,2775
b2_included,b2_containing,61,gradient_boosted_trees,925,2.6687315292496225,2775
b2_included,b2_containing,61,gradient_boosted_trees_shuffled,925,3.9820073949565,2775
b2_included,b2_containing,61,mlp,925,3.044247177035201,2775
b2_included,b2_containing,61,mlp_shuffled,925,3.34963717626863,2775
b2_included,b2_containing,61,cnn1d,925,2.015036469386109,2775
b2_included,b2_containing,61,cnn1d_shuffled,925,2.531636680587002,2775
b2_included,b2_containing,61,event_token_attention,925,1.8439530661625767,2775
b2_included,b2_containing,61,event_token_attention_shuffled,925,2.575020542766563,2775
b2_included,downstream_only,61,base,925,2.71151589456774,2775
b2_included,downstream_only,61,traditional,925,2.5151436484752185,2775
b2_included,downstream_only,61,ridge,925,1.9986288315253202,2775
b2_included,downstream_only,61,ridge_shuffled,925,3.168628637413945,2775
b2_included,downstream_only,61,gradient_boosted_trees,925,2.4991629059834777,2775
b2_included,downstream_only,61,gradient_boosted_trees_shuffled,925,4.2536977259507545,2775
b2_included,downstream_only,61,mlp,925,2.2055699457090405,2775
b2_included,downstream_only,61,mlp_shuffled,925,3.6308567474992275,2775
b2_included,downstream_only,61,cnn1d,925,2.2001619989488534,2775
b2_included,downstream_only,61,cnn1d_shuffled,925,2.580839470185932,2775
b2_included,downstream_only,61,event_token_attention,925,1.8503474302978296,2775
b2_included,downstream_only,61,event_token_attention_shuffled,925,2.677791934246801,2775
b2_included,all_six,62,base,798,3.0945267194630546,4788
b2_included,all_six,62,traditional,798,2.0852590225198924,4788
b2_included,all_six,62,ridge,798,2.2539877540028415,4788
b2_included,all_six,62,ridge_shuffled,798,3.646383765875705,4788
b2_included,all_six,62,gradient_boosted_trees,798,2.5042211135657473,4788
b2_included,all_six,62,gradient_boosted_trees_shuffled,798,4.371873638276684,4788
b2_included,all_six,62,mlp,798,2.5316035622121005,4788
b2_included,all_six,62,mlp_shuffled,798,3.8515833592021136,4788
b2_included,all_six,62,cnn1d,798,2.1705657168661534,4788
b2_included,all_six,62,cnn1d_shuffled,798,3.000740561090333,4788
b2_included,all_six,62,event_token_attention,798,2.036979299296644,4788
b2_included,all_six,62,event_token_attention_shuffled,798,2.9428251318351677,4788
