baseline,amp_cut_adc,pickoff_kind,pickoff_value,events_total,selected_pulses,downstream_ge2,clean,violating,ambiguous,labelled_events,scope,delta_labelled,delta_clean,delta_violating,target_l1_distance,target_exact_match
mean4,500.0,cfd,0.1,1096728,688328,17431,9095,2927,5409,12022,doc_32_runs,-125,-1541,1416,3082,False
mean4,500.0,cfd,0.15,1096728,688328,17431,9081,2901,5449,11982,doc_32_runs,-165,-1555,1390,3110,False
mean4,500.0,cfd,0.2,1096728,688328,17431,9068,2911,5452,11979,doc_32_runs,-168,-1568,1400,3136,False
mean4,500.0,cfd,0.4,1096728,688328,17431,9068,2992,5371,12060,doc_32_runs,-87,-1568,1481,3136,False
mean4,500.0,cfd,0.3,1096728,688328,17431,9059,2940,5432,11999,doc_32_runs,-148,-1577,1429,3154,False
mean4,500.0,cfd,0.35,1096728,688328,17431,9051,2951,5429,12002,doc_32_runs,-145,-1585,1440,3170,False
mean4,500.0,cfd,0.25,1096728,688328,17431,9030,2943,5458,11973,doc_32_runs,-174,-1606,1432,3212,False
mean4,750.0,cfd,0.2,1649802,1114176,17792,9023,3140,5629,12163,all_b_53_runs,16,-1613,1629,3258,False
mean4,750.0,cfd,0.3,1649802,1114176,17792,9039,3147,5606,12186,all_b_53_runs,39,-1597,1636,3272,False
mean4,750.0,cfd,0.15,1649802,1114176,17792,9019,3150,5623,12169,all_b_53_runs,22,-1617,1639,3278,False
mean4,750.0,cfd,0.25,1649802,1114176,17792,9003,3154,5635,12157,all_b_53_runs,10,-1633,1643,3286,False
mean4,750.0,cfd,0.35,1649802,1114176,17792,9049,3158,5585,12207,all_b_53_runs,60,-1587,1647,3294,False
mean4,750.0,cfd,0.4,1649802,1114176,17792,9079,3192,5521,12271,all_b_53_runs,124,-1557,1681,3362,False
mean4,500.0,cfd,0.5,1096728,688328,17431,8949,3039,5443,11988,doc_32_runs,-159,-1687,1528,3374,False
mean4,750.0,cfd,0.1,1649802,1114176,17792,9018,3220,5554,12238,all_b_53_runs,91,-1618,1709,3418,False
mean4,750.0,cfd,0.5,1649802,1114176,17792,8959,3246,5587,12205,all_b_53_runs,58,-1677,1735,3470,False
mean4,750.0,cfd,0.6,1649802,1114176,17792,8821,3347,5624,12168,all_b_53_runs,21,-1815,1836,3672,False
mean4,500.0,cfd,0.6,1096728,688328,17431,8799,3148,5484,11947,doc_32_runs,-200,-1837,1637,3674,False
median4,500.0,cfd,0.4,1096728,684377,17090,8786,2904,5400,11690,doc_32_runs,-457,-1850,1393,3700,False
mean4,1000.0,leading_adc,250.0,1649802,1089625,16917,8744,3311,4862,12055,all_b_53_runs,-92,-1892,1800,3784,False
median4,750.0,cfd,0.4,1649802,1108434,17449,8733,3108,5608,11841,all_b_53_runs,-306,-1903,1597,3806,False
mean4,500.0,leading_adc,250.0,1096728,688328,17431,9139,3427,4865,12566,doc_32_runs,419,-1497,1916,3832,False
median4,500.0,cfd,0.5,1096728,684377,17090,8720,2947,5423,11667,doc_32_runs,-480,-1916,1436,3832,False
mean4,1000.0,cfd,0.4,1649802,1089625,16917,8708,2899,5310,11607,all_b_53_runs,-540,-1928,1388,3856,False
median4,500.0,cfd,0.35,1096728,684377,17090,8703,2871,5516,11574,doc_32_runs,-573,-1933,1360,3866,False
median4,750.0,cfd,0.5,1649802,1108434,17449,8691,3145,5613,11836,all_b_53_runs,-311,-1945,1634,3890,False
mean4,1000.0,leading_adc,500.0,1649802,1089625,16917,8714,3464,4739,12178,all_b_53_runs,31,-1922,1953,3906,False
mean4,1000.0,cfd,0.35,1649802,1089625,16917,8666,2875,5376,11541,all_b_53_runs,-606,-1970,1364,3940,False
median4,750.0,cfd,0.35,1649802,1108434,17449,8648,3075,5726,11723,all_b_53_runs,-424,-1988,1564,3976,False
mean4,1000.0,cfd,0.3,1649802,1089625,16917,8647,2878,5392,11525,all_b_53_runs,-622,-1989,1367,3978,False
