method,alpha,fold,sigma68_ns,n_pair_residuals,shuffled_target,heldout_run
s16e_proxy_timewalk_shuffled,0.0001,1,1.518902042027362,2841,True,63
s16e_proxy_timewalk_shuffled,0.0001,2,1.5400112107177448,4710,True,63
s16e_proxy_timewalk_shuffled,0.0001,-1,1.6939894970926848,0,True,63
s16e_proxy_timewalk_shuffled,0.001,0,2.026095132695701,2799,True,63
s16e_proxy_timewalk_shuffled,0.001,1,1.5168045746480066,2841,True,63
s16e_proxy_timewalk_shuffled,0.001,2,1.55456335823085,4710,True,63
s16e_proxy_timewalk_shuffled,0.001,-1,1.6991543551915191,0,True,63
s16e_proxy_timewalk_shuffled,0.01,0,2.0260629265540686,2799,True,63
s16e_proxy_timewalk_shuffled,0.01,1,1.516359899669129,2841,True,63
s16e_proxy_timewalk_shuffled,0.01,2,1.556508238881299,4710,True,63
s16e_proxy_timewalk_shuffled,0.01,-1,1.6996436883681654,0,True,63
s16e_proxy_timewalk_shuffled,0.1,0,2.0273379752905205,2799,True,63
s16e_proxy_timewalk_shuffled,0.1,1,1.5174940853857697,2841,True,63
s16e_proxy_timewalk_shuffled,0.1,2,1.5616123083048752,4710,True,63
s16e_proxy_timewalk_shuffled,0.1,-1,1.7021481229937219,0,True,63
s16e_proxy_timewalk_shuffled,1.0,0,2.0173334373367524,2799,True,63
s16e_proxy_timewalk_shuffled,1.0,1,1.5128171326442867,2841,True,63
s16e_proxy_timewalk_shuffled,1.0,2,1.563656856152435,4710,True,63
s16e_proxy_timewalk_shuffled,1.0,-1,1.697935808711158,0,True,63
s16e_proxy_timewalk_shuffled,10.0,0,2.0393540867838214,2799,True,63
s16e_proxy_timewalk_shuffled,10.0,1,1.5105623334801175,2841,True,63
s16e_proxy_timewalk_shuffled,10.0,2,1.5618110474416889,4710,True,63
s16e_proxy_timewalk_shuffled,10.0,-1,1.7039091559018757,0,True,63
s16e_proxy_timewalk_shuffled,0.0001,0,1.9544733513190138,3018,True,65
s16e_proxy_timewalk_shuffled,0.0001,1,1.5715846792675403,3534,True,65
s16e_proxy_timewalk_shuffled,0.0001,2,1.69093585110825,4710,True,65
s16e_proxy_timewalk_shuffled,0.0001,-1,1.7389979605649346,0,True,65
s16e_proxy_timewalk_shuffled,0.001,0,1.9547919234170705,3018,True,65
s16e_proxy_timewalk_shuffled,0.001,1,1.5741885820307182,3534,True,65
s16e_proxy_timewalk_shuffled,0.001,2,1.6981227949660076,4710,True,65
s16e_proxy_timewalk_shuffled,0.001,-1,1.742367766804599,0,True,65
s16e_proxy_timewalk_shuffled,0.01,0,1.9538570766964989,3018,True,65
s16e_proxy_timewalk_shuffled,0.01,1,1.5746710022251285,3534,True,65
s16e_proxy_timewalk_shuffled,0.01,2,1.6964338331133881,4710,True,65
s16e_proxy_timewalk_shuffled,0.01,-1,1.7416539706783383,0,True,65
s16e_proxy_timewalk_shuffled,0.1,0,1.9536708518638135,3018,True,65
s16e_proxy_timewalk_shuffled,0.1,1,1.5756296491894584,3534,True,65
s16e_proxy_timewalk_shuffled,0.1,2,1.6943424246571583,4710,True,65
s16e_proxy_timewalk_shuffled,0.1,-1,1.7412143085701433,0,True,65
s16e_proxy_timewalk_shuffled,1.0,0,1.9504092808076519,3018,True,65
s16e_proxy_timewalk_shuffled,1.0,1,1.573139755768121,3534,True,65
s16e_proxy_timewalk_shuffled,1.0,2,1.6829685606099452,4710,True,65
s16e_proxy_timewalk_shuffled,1.0,-1,1.7355058657285725,0,True,65
s16e_proxy_timewalk_shuffled,10.0,0,1.9553221932556744,3018,True,65
s16e_proxy_timewalk_shuffled,10.0,1,1.568688979306223,3534,True,65
s16e_proxy_timewalk_shuffled,10.0,2,1.68291203312672,4710,True,65
s16e_proxy_timewalk_shuffled,10.0,-1,1.7356410685628727,0,True,65
