run,group,events_total,events_with_selected,selected_pulses,weak_terminal_b2_like,weak_penetrating_like,B2,B4,B6,B8
31,sample_i_calib,39990,27078,27871,25877,155,26948,592,237,94
32,sample_i_calib,41921,27461,28240,26201,138,27316,605,224,95
33,sample_i_calib,57173,47911,48737,46905,187,47724,559,318,136
34,sample_i_calib,39765,33500,34118,32800,145,33373,412,244,89
35,sample_i_calib,27786,11141,11667,10243,115,11029,403,163,72
36,sample_i_calib,21764,9930,10391,9163,107,9847,340,143,61
37,sample_i_calib,50513,23174,24537,20949,290,22956,997,423,161
39,sample_i_calib,30321,13329,14218,11909,189,13174,663,273,108
40,sample_i_calib,32613,13763,14708,12213,214,13575,707,310,116
41,sample_i_calib,33997,15140,16146,13522,208,14963,758,298,127
42,sample_i_calib,33972,17132,18112,15589,214,16977,711,307,117
44,sample_i_analysis,4294,1912,2038,1692,27,1884,93,44,17
45,sample_i_analysis,48181,23013,24333,20762,279,22786,969,401,177
46,sample_i_analysis,1441,677,687,650,1,675,7,3,2
47,sample_i_analysis,10970,5161,5276,4916,22,5116,85,50,25
48,sample_i_analysis,31713,13185,14000,11837,172,13044,599,245,112
49,sample_i_analysis,32354,13937,14815,12435,198,13779,640,281,115
50,sample_i_analysis,44804,34257,35217,33085,206,34088,659,330,140
51,sample_i_analysis,20569,14295,14740,13666,100,14200,303,177,60
52,sample_i_analysis,10005,6933,7152,6643,50,6893,148,76,35
53,sample_i_analysis,39612,31386,32200,30339,180,31225,559,296,120
54,sample_i_analysis,37413,29665,30440,28688,176,29493,536,298,113
55,sample_i_analysis,24416,16841,17387,16066,120,16735,372,199,81
56,sample_i_analysis,51823,38932,40148,37417,265,38730,825,421,172
57,sample_i_analysis,31284,12939,13833,11452,200,12774,656,273,130
58,sample_ii_analysis,34141,15920,16781,14899,200,15791,591,285,114
59,sample_ii_analysis,42303,13863,21377,8417,2160,13565,4527,2366,919
60,sample_ii_analysis,36074,10140,17029,5450,2024,9873,4040,2189,927
61,sample_ii_analysis,36535,11287,18965,6190,2319,11015,4401,2490,1059
62,sample_ii_analysis,37584,11912,19089,6994,2152,11635,4183,2342,929
63,sample_ii_analysis,37030,14781,18817,11390,1040,14566,2645,1153,453
64,sample_ii_calib,35943,12103,14630,9788,619,11907,1689,763,271
65,sample_ii_analysis,38424,11904,13038,10404,249,11768,842,323,105
