template_id,amp_bin,shape,amp_low,amp_high,amp_center,late_fraction_center,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area,fallback_used,heldout_run,training_runs
B4:amp1:balanced,1,balanced,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,49,46 47
B4:amp1:slow_tail,1,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,49,46 47
B4:amp2:fast_tail,2,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,49,46 47
B4:amp2:balanced,2,balanced,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,49,46 47
B4:amp2:slow_tail,2,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,49,46 47
B6:amp0:fast_tail,0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp0:balanced,0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp0:slow_tail,0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp1:fast_tail,1,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp1:balanced,1,balanced,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp1:slow_tail,1,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp2:fast_tail,2,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp2:balanced,2,balanced,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B6:amp2:slow_tail,2,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,49,46 47
B8:amp0:fast_tail,0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp0:balanced,0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp0:slow_tail,0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp1:fast_tail,1,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp1:balanced,1,balanced,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp1:slow_tail,1,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp2:fast_tail,2,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp2:balanced,2,balanced,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B8:amp2:slow_tail,2,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,49,46 47
B2:amp0:fast_tail,0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,771,1.9042808432676197,5,7.937083491117804,False,50,46 47
B2:amp0:balanced,0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,422,3.0942893942306244,6,7.725155048001952,False,50,46 47
B2:amp0:slow_tail,0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,589,3.769979968844479,7,8.16325558181084,False,50,46 47
B2:amp1:fast_tail,1,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,324,1.1786242612679947,4,9.28358498723463,False,50,46 47
B2:amp1:balanced,1,balanced,3865.34,6246.52,5005.0,0.5157293863475747,659,2.0464938039524205,4,9.147903983939447,False,50,46 47
B2:amp1:slow_tail,1,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,798,3.2510171199033966,5,9.874726524033422,False,50,46 47
B2:amp2:fast_tail,2,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,687,1.3850640838589185,4,8.265979901974642,False,50,46 47
B2:amp2:balanced,2,balanced,6246.52,9647.0,7844.75,0.5189866395978201,700,2.4597225277121773,5,8.299610754836438,False,50,46 47
B2:amp2:slow_tail,2,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,449,3.1731481484863795,6,9.245976857530483,False,50,46 47
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,50,46 47
B4:amp0:balanced,0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,50,46 47
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,50,46 47
B4:amp1:fast_tail,1,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,50,46 47
B4:amp1:balanced,1,balanced,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,50,46 47
B4:amp1:slow_tail,1,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,50,46 47
B4:amp2:fast_tail,2,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,50,46 47
B4:amp2:balanced,2,balanced,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,50,46 47
B4:amp2:slow_tail,2,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,50,46 47
B6:amp0:fast_tail,0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp0:balanced,0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp0:slow_tail,0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp1:fast_tail,1,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp1:balanced,1,balanced,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp1:slow_tail,1,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp2:fast_tail,2,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp2:balanced,2,balanced,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B6:amp2:slow_tail,2,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,50,46 47
B8:amp0:fast_tail,0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp0:balanced,0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp0:slow_tail,0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp1:fast_tail,1,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp1:balanced,1,balanced,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp1:slow_tail,1,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp2:fast_tail,2,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp2:balanced,2,balanced,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B8:amp2:slow_tail,2,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,50,46 47
B2:amp0:fast_tail,0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,771,1.9042808432676197,5,7.937083491117804,False,51,46 47
B2:amp0:balanced,0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,422,3.0942893942306244,6,7.725155048001952,False,51,46 47
B2:amp0:slow_tail,0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,589,3.769979968844479,7,8.16325558181084,False,51,46 47
B2:amp1:fast_tail,1,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,324,1.1786242612679947,4,9.28358498723463,False,51,46 47
B2:amp1:balanced,1,balanced,3865.34,6246.52,5005.0,0.5157293863475747,659,2.0464938039524205,4,9.147903983939447,False,51,46 47
B2:amp1:slow_tail,1,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,798,3.2510171199033966,5,9.874726524033422,False,51,46 47
B2:amp2:fast_tail,2,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,687,1.3850640838589185,4,8.265979901974642,False,51,46 47
B2:amp2:balanced,2,balanced,6246.52,9647.0,7844.75,0.5189866395978201,700,2.4597225277121773,5,8.299610754836438,False,51,46 47
B2:amp2:slow_tail,2,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,449,3.1731481484863795,6,9.245976857530483,False,51,46 47
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,51,46 47
B4:amp0:balanced,0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,51,46 47
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,51,46 47
B4:amp1:fast_tail,1,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,51,46 47
B4:amp1:balanced,1,balanced,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,51,46 47
B4:amp1:slow_tail,1,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,51,46 47
B4:amp2:fast_tail,2,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,51,46 47
B4:amp2:balanced,2,balanced,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,51,46 47
B4:amp2:slow_tail,2,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,51,46 47
B6:amp0:fast_tail,0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp0:balanced,0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp0:slow_tail,0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp1:fast_tail,1,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp1:balanced,1,balanced,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp1:slow_tail,1,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp2:fast_tail,2,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp2:balanced,2,balanced,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B6:amp2:slow_tail,2,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,51,46 47
B8:amp0:fast_tail,0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp0:balanced,0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp0:slow_tail,0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp1:fast_tail,1,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp1:balanced,1,balanced,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp1:slow_tail,1,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp2:fast_tail,2,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp2:balanced,2,balanced,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B8:amp2:slow_tail,2,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,51,46 47
B2:amp0:fast_tail,0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,771,1.9042808432676197,5,7.937083491117804,False,52,46 47
B2:amp0:balanced,0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,422,3.0942893942306244,6,7.725155048001952,False,52,46 47
B2:amp0:slow_tail,0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,589,3.769979968844479,7,8.16325558181084,False,52,46 47
B2:amp1:fast_tail,1,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,324,1.1786242612679947,4,9.28358498723463,False,52,46 47
B2:amp1:balanced,1,balanced,3865.34,6246.52,5005.0,0.5157293863475747,659,2.0464938039524205,4,9.147903983939447,False,52,46 47
B2:amp1:slow_tail,1,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,798,3.2510171199033966,5,9.874726524033422,False,52,46 47
B2:amp2:fast_tail,2,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,687,1.3850640838589185,4,8.265979901974642,False,52,46 47
B2:amp2:balanced,2,balanced,6246.52,9647.0,7844.75,0.5189866395978201,700,2.4597225277121773,5,8.299610754836438,False,52,46 47
B2:amp2:slow_tail,2,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,449,3.1731481484863795,6,9.245976857530483,False,52,46 47
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,52,46 47
B4:amp0:balanced,0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,52,46 47
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,52,46 47
B4:amp1:fast_tail,1,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,52,46 47
B4:amp1:balanced,1,balanced,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,52,46 47
B4:amp1:slow_tail,1,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,52,46 47
B4:amp2:fast_tail,2,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,52,46 47
B4:amp2:balanced,2,balanced,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,52,46 47
B4:amp2:slow_tail,2,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,52,46 47
B6:amp0:fast_tail,0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp0:balanced,0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp0:slow_tail,0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp1:fast_tail,1,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp1:balanced,1,balanced,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp1:slow_tail,1,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp2:fast_tail,2,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp2:balanced,2,balanced,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B6:amp2:slow_tail,2,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,52,46 47
B8:amp0:fast_tail,0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp0:balanced,0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp0:slow_tail,0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp1:fast_tail,1,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp1:balanced,1,balanced,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp1:slow_tail,1,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp2:fast_tail,2,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp2:balanced,2,balanced,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B8:amp2:slow_tail,2,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,52,46 47
B2:amp0:fast_tail,0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,771,1.9042808432676197,5,7.937083491117804,False,53,46 47
B2:amp0:balanced,0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,422,3.0942893942306244,6,7.725155048001952,False,53,46 47
B2:amp0:slow_tail,0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,589,3.769979968844479,7,8.16325558181084,False,53,46 47
B2:amp1:fast_tail,1,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,324,1.1786242612679947,4,9.28358498723463,False,53,46 47
B2:amp1:balanced,1,balanced,3865.34,6246.52,5005.0,0.5157293863475747,659,2.0464938039524205,4,9.147903983939447,False,53,46 47
B2:amp1:slow_tail,1,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,798,3.2510171199033966,5,9.874726524033422,False,53,46 47
B2:amp2:fast_tail,2,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,687,1.3850640838589185,4,8.265979901974642,False,53,46 47
B2:amp2:balanced,2,balanced,6246.52,9647.0,7844.75,0.5189866395978201,700,2.4597225277121773,5,8.299610754836438,False,53,46 47
B2:amp2:slow_tail,2,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,449,3.1731481484863795,6,9.245976857530483,False,53,46 47
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,53,46 47
B4:amp0:balanced,0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,53,46 47
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,53,46 47
B4:amp1:fast_tail,1,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,53,46 47
B4:amp1:balanced,1,balanced,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,53,46 47
B4:amp1:slow_tail,1,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,53,46 47
B4:amp2:fast_tail,2,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,53,46 47
B4:amp2:balanced,2,balanced,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,53,46 47
B4:amp2:slow_tail,2,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,53,46 47
B6:amp0:fast_tail,0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp0:balanced,0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp0:slow_tail,0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp1:fast_tail,1,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp1:balanced,1,balanced,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp1:slow_tail,1,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp2:fast_tail,2,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp2:balanced,2,balanced,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B6:amp2:slow_tail,2,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,53,46 47
B8:amp0:fast_tail,0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp0:balanced,0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp0:slow_tail,0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp1:fast_tail,1,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp1:balanced,1,balanced,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp1:slow_tail,1,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp2:fast_tail,2,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp2:balanced,2,balanced,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B8:amp2:slow_tail,2,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,10,3.359522515275851,7,7.792315545431649,True,53,46 47
B2:amp0:fast_tail,0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,771,1.9042808432676197,5,7.937083491117804,False,54,46 47
B2:amp0:balanced,0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,422,3.0942893942306244,6,7.725155048001952,False,54,46 47
B2:amp0:slow_tail,0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,589,3.769979968844479,7,8.16325558181084,False,54,46 47
B2:amp1:fast_tail,1,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,324,1.1786242612679947,4,9.28358498723463,False,54,46 47
B2:amp1:balanced,1,balanced,3865.34,6246.52,5005.0,0.5157293863475747,659,2.0464938039524205,4,9.147903983939447,False,54,46 47
B2:amp1:slow_tail,1,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,798,3.2510171199033966,5,9.874726524033422,False,54,46 47
B2:amp2:fast_tail,2,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,687,1.3850640838589185,4,8.265979901974642,False,54,46 47
B2:amp2:balanced,2,balanced,6246.52,9647.0,7844.75,0.5189866395978201,700,2.4597225277121773,5,8.299610754836438,False,54,46 47
B2:amp2:slow_tail,2,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,449,3.1731481484863795,6,9.245976857530483,False,54,46 47
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,54,46 47
B4:amp0:balanced,0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,54,46 47
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,10,1.8761300475521492,5,7.940592774740123,True,54,46 47
B4:amp1:fast_tail,1,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,54,46 47
B4:amp1:balanced,1,balanced,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,54,46 47
B4:amp1:slow_tail,1,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,9,3.4193588593926947,7,7.584382606918808,True,54,46 47
B4:amp2:fast_tail,2,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,54,46 47
B4:amp2:balanced,2,balanced,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,54,46 47
B4:amp2:slow_tail,2,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,10,1.073179271451893,3,10.981012461462237,True,54,46 47
B6:amp0:fast_tail,0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
B6:amp0:balanced,0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
B6:amp0:slow_tail,0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
B6:amp1:fast_tail,1,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
B6:amp1:balanced,1,balanced,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
B6:amp1:slow_tail,1,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
B6:amp2:fast_tail,2,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
B6:amp2:balanced,2,balanced,3420.64,3793.5,2763.75,0.6009834521988113,18,3.244130864715137,6,8.515996448696113,True,54,46 47
