run,window,method,n,res68_abs_frac,bias_median_frac,frac_within10
58,s3,observed_ceiling,3782,0.2834751455441111,-0.22694110077058252,0.13749338974087785
58,s3,traditional_template,3782,0.37753185595554034,-0.13871991998908806,0.10655737704918032
58,s3,gbr_masked,3782,0.14707333810526396,-0.004333259246025423,0.4698572184029614
58,s3,mlp_masked,3782,0.14692815232020903,-0.0054805578409911045,0.4629825489159175
58,s4,observed_ceiling,3782,0.2834751455441111,-0.22694110077058252,0.13749338974087785
58,s4,traditional_template,3782,1.2616645535794149,-0.005245388672121832,0.11369645690111052
58,s4,gbr_masked,3782,0.14374283073176514,-0.007188772762297221,0.4714436805922792
58,s4,mlp_masked,3782,0.14557133933522495,-0.001983031426642606,0.47435219460602857
58,s5,observed_ceiling,3782,0.2834751455441111,-0.22694110077058252,0.13749338974087785
58,s5,traditional_template,3782,0.4701958655452506,0.02313630109617928,0.14859862506610258
58,s5,gbr_masked,3782,0.14013789850679173,-0.012302062987846966,0.4888947646747753
58,s5,mlp_masked,3782,0.13739319143305836,0.017662848162185947,0.4997355896351137
58,s6,observed_ceiling,3782,0.2834751455441111,-0.22694110077058252,0.13749338974087785
58,s6,traditional_template,3782,0.28322348690930316,-0.22566906850533444,0.17636171337916445
58,s6,gbr_masked,3782,0.13347147458653405,0.009738458547185818,0.5079323109465891
58,s6,mlp_masked,3782,0.14029327256307633,0.037923583376832215,0.4925965097831835
58,s7,observed_ceiling,3782,0.2834751455441111,-0.22694110077058252,0.13749338974087785
58,s7,traditional_template,3782,0.2834751455441111,-0.22694110077058252,0.13749338974087785
58,s7,gbr_masked,3782,0.1455887756327715,0.005680520749270545,0.47514542570068746
58,s7,mlp_masked,3782,0.1463258230497239,0.010074465710786129,0.4788471708090957
58,w2_4,observed_ceiling,3782,0.2834751455441111,-0.22694110077058252,0.13749338974087785
58,w2_4,traditional_template,3782,1.2655850453747504,0.0032204292029474725,0.11343204653622423
58,w2_4,gbr_masked,3782,0.14398634135311855,0.0017898618442495858,0.4804336329984135
58,w2_4,mlp_masked,3782,0.14432555995136684,-0.005359492653952359,0.47990481226864096
