heldout_run,quantity,train_mean,heldout_mean,train_sigma68,heldout_sigma68,ks_stat,ks_pvalue
58,target_residual_ns,-5.925229393799637e-17,0.0,4.0735734923852185,4.073573492385222,0.11250198609886569,0.00795273696021265
58,amplitude_adc,2740.9478432264423,2754.4132420091323,792.0500000000002,714.96,0.04957614313619807,0.6474819087035435
58,peak_sample,8.193313622924721,9.95890410958904,2.5,4.5,0.306245541013331,2.138277028585409e-18
58,area_adc_samples,19898.055189144114,17989.739726027397,8984.5,9051.5,0.11863942102492045,0.004290260316701302
58,s03a_amp_only_global_pulse_residual_ns,,0.009605847974440347,,0.5721760314462645,,
58,hierarchical_shrinkage_pulse_residual_ns,,0.0023888133119917125,,1.9253185973971962,,
58,shape_gated_cnn_pulse_residual_ns,,0.01296602999238663,,0.6120767074100157,,
59,target_residual_ns,-5.4308185000996777e-17,-7.760405589341418e-17,4.0735734923852185,4.0735734923852185,0.030843964337008756,0.05291308479985668
59,amplitude_adc,2772.488400323712,2588.9978156400175,786.6499999999996,780.4199999999998,0.11585699212628675,1.188002971312136e-22
59,peak_sample,8.323621976440968,7.729139362166885,3.0,2.0,0.11292828805691901,1.5369550676059107e-21
59,area_adc_samples,20004.11743548242,19200.17868064657,9118.3,8367.02,0.08175681703572157,1.748901578257427e-11
59,s03a_amp_only_global_pulse_residual_ns,,-0.017461026657330875,,0.9573527803181046,,
59,hierarchical_shrinkage_pulse_residual_ns,,-0.013062094604046389,,1.9622463075349343,,
59,shape_gated_cnn_pulse_residual_ns,,-0.04300360368074863,,1.0253458876733093,,
60,target_residual_ns,-4.9801375071479804e-17,-9.966358504885894e-17,4.0735734923852185,4.0735734923852185,0.018477837679999554,0.5006379838865702
60,amplitude_adc,2694.0725468778446,2954.611592409241,786.5999999999999,775.8799999999999,0.1619833883989163,5.359563948421005e-46
60,peak_sample,8.329601310759148,7.735148514851486,2.0,2.0,0.11003608553099986,2.130242037403882e-21
60,area_adc_samples,19344.61587474968,22233.93110561056,8761.8,9407.779999999999,0.17249902215781376,3.8200914424755506e-52
60,s03a_amp_only_global_pulse_residual_ns,,0.03682690416474268,,0.8482335658188191,,
60,hierarchical_shrinkage_pulse_residual_ns,,0.015878938752005613,,1.970992293813755,,
60,shape_gated_cnn_pulse_residual_ns,,0.061609043358984886,,0.97999143148642,,
61,target_residual_ns,-7.70072703914914e-17,1.2692796280101826e-17,4.0735734923852185,4.0735734923852185,0.06410383449075022,2.3443366295185312e-08
61,amplitude_adc,2723.7304212609556,2807.2725973561987,792.4499999999998,770.6099999999997,0.05545722284797583,2.314545698811578e-06
61,peak_sample,8.307322589765338,7.89924973204716,2.199999999999932,2.0,0.05891326146106335,3.999098264784943e-07
61,area_adc_samples,19530.14381302422,21143.495176848875,8938.599999999999,8739.919999999995,0.10391388418437342,2.805941805278358e-21
61,s03a_amp_only_global_pulse_residual_ns,,0.014582996426379528,,0.9163024724117774,,
61,hierarchical_shrinkage_pulse_residual_ns,,0.0036738368009027814,,1.9220339590064428,,
61,shape_gated_cnn_pulse_residual_ns,,0.056357590265361794,,1.1850605455112038,,
62,target_residual_ns,-4.784799567408082e-17,-1.0565691238068404e-16,4.0735734923852185,4.0735734923852185,0.024082886536418102,0.19685560805638136
62,amplitude_adc,2746.9668304668303,2714.845518380834,798.25,762.35,0.03160307993021744,0.03720070134925668
62,peak_sample,8.325325325325325,7.753820735233375,2.0,2.0,0.09198756038904732,4.6400402945250224e-15
62,area_adc_samples,19835.544908544907,20009.168112350268,9100.880000000001,8475.599999999999,0.034948771008250556,0.015336589417298938
62,s03a_amp_only_global_pulse_residual_ns,,0.0007304885462533504,,0.8559045203463227,,
62,hierarchical_shrinkage_pulse_residual_ns,,-0.003721928538990632,,1.9659152022664568,,
62,shape_gated_cnn_pulse_residual_ns,,-0.021772380805744108,,1.0312978333725205,,
63,target_residual_ns,-5.77677020943171e-17,-6.40128590774865e-17,4.0735734923852185,4.0735734923852185,0.040125247198417924,0.07337646886040528
63,amplitude_adc,2755.737845528455,2579.7153153153154,787.54,821.82,0.11509118874972535,3.3343902214510083e-12
63,peak_sample,8.243170731707318,7.989189189189189,2.5,1.5,0.050955833882663115,0.009762427096050326
63,area_adc_samples,19975.62544715447,18661.987387387388,8966.74,8859.5,0.11712370907492864,1.266624403332668e-12
63,s03a_amp_only_global_pulse_residual_ns,,-0.01741001478794698,,1.03313781607616,,
63,hierarchical_shrinkage_pulse_residual_ns,,-0.012313700582893352,,1.9854724254921483,,
63,shape_gated_cnn_pulse_residual_ns,,-0.04625573084544949,,1.0376512426137903,,
65,target_residual_ns,-6.13093187077289e-17,1.4354398702224247e-16,4.0735734923852185,4.073573492385222,0.06681942036165467,0.3338366871619952
65,amplitude_adc,2744.8765137753558,2493.691919191919,790.6199999999999,859.6999999999999,0.1597445848127047,8.173701544578947e-05
65,peak_sample,8.204511050560097,9.3989898989899,2.5,3.0,0.1436228772741035,0.0005665658767423996
65,area_adc_samples,19908.222146533455,17108.929292929293,8985.86,7912.84,0.1831943412324884,3.3623773782301745e-06
65,s03a_amp_only_global_pulse_residual_ns,,-0.02517198905445772,,0.6525371621450311,,
65,hierarchical_shrinkage_pulse_residual_ns,,-0.01471147578359463,,1.9556168543332897,,
65,shape_gated_cnn_pulse_residual_ns,,-0.11151324513584662,,0.8760085558496788,,
