subset,dimension,stratum,method,method_label,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,coverage68_error,coverage95_error,calibration_ece,calibration_loss,sigma68_ci_low_ns,sigma68_ci_high_ns,pull_width68_ci_low,pull_width68_ci_high,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high
full_support,pair,B4-B6,ridge,Ridge residual scale model,3820,2.1823016777571147,2.043576439388765,1.1443353376982124,2.2222223575268294,0.012565445026178011,0.5772950494387837,0.44659685863874343,0.9047120418848168,0.2360926334982566,0.04528795811518316,0.1406902958067199,0.21119395949534397,0.9262065988779067,1.3223879228967217,0.4731443275321601,0.6814400984767282,0.31593332155685994,0.5809920474036742,0.8167804589982629,0.9714640929219001,0.17445798320893732,0.2721355855647353
full_support,pair,B4-B6,traditional,S02/S03/S04 atom robust-width baseline,3820,2.174971655947137,2.0562048259577246,1.196986056387738,2.3910801927774727,0.014921465968586388,7.249260013005334,0.23141361256544501,0.4746073298429319,0.451275879571555,0.47539267015706804,0.4633342748643115,1.9098157093995671,0.8904913699209168,1.3217790718076508,6.912283125174439,7.641507835229902,0.12881673384609058,0.30415300478792,0.3278774785934075,0.5782231367251883,1.779312475992282,2.093977557822299
full_support,pair,B4-B8,cnn1d,1D-CNN residual scale model,3820,1.852562621020021,1.8757125735223887,0.8772924751901812,2.453243007848807,0.015445026178010472,0.3070427387460473,0.42643979057591624,0.9706806282722513,0.2562497015610838,0.020680628272251367,0.14836045287478278,0.2795620109905177,0.8240716242951682,0.9550917893989473,0.2849297045336142,0.3297348411849266,0.3534080381489097,0.4897230286609979,0.9565909863157042,0.9809306598099521,0.2563372249564422,0.30451061613360547
full_support,pair,B4-B8,gradient_boosted_trees,HistGradientBoosting residual scale model,3820,1.8943181135089617,1.9516328173802826,1.054132087089478,2.2868071533366114,0.01780104712041885,0.6156637877371562,0.468848167539267,0.8829842931937173,0.21384132459773303,0.06701570680628266,0.1481248507805419,0.20332952361185036,0.980773377135616,1.1424095441087452,0.48828467127296515,0.7362953171924583,0.3482186160938947,0.5986908948808128,0.7918026137776943,0.9720662311938597,0.1637911208891495,0.2539657101649211
full_support,pair,B4-B8,mlp,MLP residual scale model,3820,1.9026358741864005,1.9458166502890641,1.150371096818951,2.467819901773756,0.016492146596858638,0.6561742707126186,0.4806282722513089,0.8801047120418848,0.20206121988569115,0.06989528795811517,0.13922432722033246,0.18875164108788006,1.078231810734296,1.1809549088270348,0.5704154885240148,0.7428476391643773,0.39628650028172746,0.5819530295206317,0.8211442455071882,0.9331628694549,0.15301025541276309,0.22390671158344108
full_support,pair,B4-B8,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3820,1.828943955885302,1.8424070477426608,0.8569808700315282,2.4477427271464434,0.014397905759162303,0.3062347350597999,0.6329842931937173,0.9801047120418848,0.049705198943282736,0.030104712041884807,0.05421135759066338,0.20694663337900776,0.7676877415749558,0.9215084994216635,0.2767371209457498,0.3290214523297949,0.5137622540089152,0.7540224670134374,0.9720333051012531,0.9878817943399762,0.19601481460283965,0.2486246408348237
full_support,pair,B4-B8,ridge,Ridge residual scale model,3820,1.870392176211556,1.8658420962701,1.1835303133086854,2.636930113832677,0.019109947643979056,0.6942530933260596,0.4445026178010471,0.8905759162303665,0.23818687433595293,0.059424083769633484,0.14880547905279318,0.18804083595808002,1.0576384597266821,1.292737582551207,0.6039090445222222,0.7634463221293062,0.32011422534512224,0.558103849364318,0.7989774046059459,0.9742961007484598,0.14736267739701647,0.2559415660295675
full_support,pair,B4-B8,traditional,S02/S03/S04 atom robust-width baseline,3820,1.8662540111588268,1.8541062402796484,1.20294195369979,2.8021698008940708,0.01963350785340314,2.288711748057942,0.281151832460733,0.5361256544502618,0.40153765967626703,0.4138743455497381,0.40770600261300255,0.6279574389742374,0.9818676269839286,1.3434074795781088,2.1898261329506252,2.3835788057173084,0.15981210562406648,0.363274764141539,0.4187061734033646,0.6178610009892911,0.5518786291148747,0.7230341661549451
full_support,pair,B6-B8,cnn1d,1D-CNN residual scale model,3820,-0.37278135002166946,-0.3222581019786545,0.8185088722079035,1.8432724211051594,0.007853403141361256,1.162514948930482,0.543979057591623,0.8620418848167539,0.13871043454537701,0.08795811518324603,0.11333427486431152,0.12562944338085413,0.7568323742818333,0.8644955134955168,1.0498562547166954,1.2215402137211726,0.48187229150265226,0.5904669862173153,0.8315746538337687,0.8924100958720462,0.07458665757122003,0.16917804770708103
full_support,pair,B6-B8,gradient_boosted_trees,HistGradientBoosting residual scale model,3820,-0.2774677709483768,-0.20457078978553866,0.9451529413172912,1.8418400612478771,0.008115183246073299,1.238324433230154,0.5698952879581152,0.8366492146596859,0.11279420417888486,0.11335078534031406,0.12156077434267068,0.14650754927300588,0.877663677421558,1.003068561353837,1.168967850060271,1.3179309857349666,0.5455984989469227,0.5938272036871175,0.8199743540917515,0.8573918165669269,0.11702439660977071,0.1753573871024309
full_support,pair,B6-B8,mlp,MLP residual scale model,3820,-0.3269563282394328,-0.2931312015185909,0.9792093169808869,1.7979374880113639,0.009424083769633508,1.2337742619333698,0.5578534031413612,0.8392670157068063,0.1248360889956388,0.11073298429319367,0.11778453664441622,0.14678196796665463,0.8915216714638268,1.0656195095297156,1.1260672799572917,1.3754906825417115,0.5227870216306156,0.5980036020097658,0.8109979807635077,0.8655558016459562,0.0989355840603414,0.20399632193417816
full_support,pair,B6-B8,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3820,-0.4295417301462159,-0.3489321179570375,0.7631522549948312,1.772762864897481,0.006806282722513089,0.9614752654433432,0.6054973821989529,0.9141361256544502,0.07719210993804715,0.03586387434554972,0.05652799214179843,0.052027177745513034,0.7118517894028378,0.7976141929723128,0.8828145948014494,1.0497914952994334,0.5512316587003613,0.6540261448350111,0.8870514736608862,0.9401775712468633,0.03626651035781887,0.07924301231999113
full_support,pair,B6-B8,ridge,Ridge residual scale model,3820,-0.3119095015455586,-0.22524620326305467,1.037163225121996,1.9672533465560564,0.008900523560209424,1.3290334836387245,0.5520942408376963,0.8198952879581152,0.13059525129930372,0.13010471204188478,0.13034998167059425,0.18002085716262684,0.9835513240244745,1.0885096300049035,1.217534470250096,1.416101141311566,0.522961044922944,0.5842869682919469,0.801376452385655,0.8404947075944047,0.13715358229226876,0.21522552278453994
full_support,pair,B6-B8,traditional,S02/S03/S04 atom robust-width baseline,3820,-0.30871764478830954,-0.2053220011757091,1.023596727955002,2.025890068807161,0.009162303664921465,1.0399494209958853,0.6424083769633507,0.8840314136125654,0.040281115173649296,0.06596858638743452,0.05754600833993795,0.05093628272422676,0.9263369105406847,1.0744556192011585,0.9342763413173947,1.1668924368974407,0.612956947843344,0.6708068373482884,0.8591065667128611,0.9047767375736879,0.03304296214382014,0.10047312479985535
full_support,stave_a,B4,cnn1d,1D-CNN residual scale model,7640,2.0389532960308556,2.042824988131514,0.9364016953727984,2.269359395631188,0.013612565445026177,0.29481369926153367,0.4098167539267016,0.9731675392670157,0.27287273821029845,0.023167539267015758,0.1567374162255681,0.28949099861033717,,,,,,,,,,
full_support,stave_a,B4,gradient_boosted_trees,HistGradientBoosting residual scale model,7640,2.03305199898315,2.0763805975007905,1.0741956109883275,2.1370629057807387,0.016884816753926703,0.5956446232689652,0.46924083769633507,0.8862565445026178,0.21344865444066496,0.06374345549738214,0.14257511256064662,0.20603064980743213,,,,,,,,,,
full_support,stave_a,B4,mlp,MLP residual scale model,7640,2.0661140383061167,2.09912355296143,1.110259419071698,2.3005019239268174,0.01531413612565445,0.608679418097157,0.4964659685863874,0.8943717277486911,0.1862235235506126,0.05562827225130884,0.13410004135837747,0.19181810476578548,,,,,,,,,,
full_support,stave_a,B4,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,7640,2.0437148209584097,2.0351770720563103,0.8761758056294416,2.267223842826759,0.012434554973821989,0.2749981551637614,0.6451570680628272,0.9844240837696335,0.03753242407417279,0.03442408376963357,0.05216947277390945,0.2122819563634886,,,,,,,,,,
full_support,stave_a,B4,ridge,Ridge residual scale model,7640,2.0263469269843353,1.9681610125574878,1.1670134383217334,2.4433907178454817,0.015968586387434557,0.640928080488939,0.4455497382198953,0.8976439790575916,0.23713975391710473,0.05235602094240832,0.14474788742975653,0.19832889545008264,,,,,,,,,,
full_support,stave_a,B4,traditional,S02/S03/S04 atom robust-width baseline,7640,2.020612833552981,1.9957702222563865,1.192719792304762,2.6093172836431076,0.016753926701570682,3.4623292883266257,0.256282722513089,0.5053664921465969,0.42640676962391105,0.44463350785340305,0.43552013873865714,0.9422224261356491,,,,,,,,,,
full_support,stave_a,B6,cnn1d,1D-CNN residual scale model,3820,-0.37278135002166946,-0.3222581019786545,0.8185088722079035,1.8432724211051594,0.007853403141361256,1.162514948930482,0.543979057591623,0.8620418848167539,0.13871043454537701,0.08795811518324603,0.11333427486431152,0.12562944338085413,,,,,,,,,,
full_support,stave_a,B6,gradient_boosted_trees,HistGradientBoosting residual scale model,3820,-0.2774677709483768,-0.20457078978553866,0.9451529413172912,1.8418400612478771,0.008115183246073299,1.238324433230154,0.5698952879581152,0.8366492146596859,0.11279420417888486,0.11335078534031406,0.12156077434267068,0.14650754927300588,,,,,,,,,,
full_support,stave_a,B6,mlp,MLP residual scale model,3820,-0.3269563282394328,-0.2931312015185909,0.9792093169808869,1.7979374880113639,0.009424083769633508,1.2337742619333698,0.5578534031413612,0.8392670157068063,0.1248360889956388,0.11073298429319367,0.11778453664441622,0.14678196796665463,,,,,,,,,,
full_support,stave_a,B6,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3820,-0.4295417301462159,-0.3489321179570375,0.7631522549948312,1.772762864897481,0.006806282722513089,0.9614752654433432,0.6054973821989529,0.9141361256544502,0.07719210993804715,0.03586387434554972,0.05652799214179843,0.052027177745513034,,,,,,,,,,
full_support,stave_a,B6,ridge,Ridge residual scale model,3820,-0.3119095015455586,-0.22524620326305467,1.037163225121996,1.9672533465560564,0.008900523560209424,1.3290334836387245,0.5520942408376963,0.8198952879581152,0.13059525129930372,0.13010471204188478,0.13034998167059425,0.18002085716262684,,,,,,,,,,
full_support,stave_a,B6,traditional,S02/S03/S04 atom robust-width baseline,3820,-0.30871764478830954,-0.2053220011757091,1.023596727955002,2.025890068807161,0.009162303664921465,1.0399494209958853,0.6424083769633507,0.8840314136125654,0.040281115173649296,0.06596858638743452,0.05754600833993795,0.05093628272422676,,,,,,,,,,
full_support,stave_b,B6,cnn1d,1D-CNN residual scale model,3820,2.2253439710416907,2.1990145069411042,0.9717440806677896,2.0523401058445576,0.011780104712041885,0.2818177313842377,0.3931937172774869,0.9756544502617801,0.2894957748595131,0.02565445026178015,0.16537615968106548,0.29967716335453026,,,,,,,,,,
full_support,stave_b,B6,gradient_boosted_trees,HistGradientBoosting residual scale model,3820,2.1717858844573388,2.1632582151113553,1.0581085851789407,1.9662386904999611,0.015968586387434557,0.5741541978174732,0.46963350785340313,0.8895287958115183,0.2130559842835969,0.06047120418848162,0.14421123821509685,0.21089605721742555,,,,,,,,,,
full_support,stave_b,B6,mlp,MLP residual scale model,3820,2.2295922024258332,2.2209152269502432,1.076007378329178,2.107375836461888,0.014136125654450262,0.5558460190376302,0.512303664921466,0.9086387434554973,0.17038582721553408,0.04136125654450262,0.13148224031125708,0.1968458262584159,,,,,,,,,,
full_support,stave_b,B6,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3820,2.2584856860315177,2.1902322316515885,0.8671434813854856,2.0486362292260347,0.01099476439790576,0.24093746542920363,0.6573298429319372,0.9887434554973822,0.02535964920506284,0.03874345549738223,0.06275199319467697,0.2214794081169796,,,,,,,,,,
full_support,stave_b,B6,ridge,Ridge residual scale model,3820,2.1823016777571147,2.043576439388765,1.1443353376982124,2.2222223575268294,0.012565445026178011,0.5772950494387837,0.44659685863874343,0.9047120418848168,0.2360926334982566,0.04528795811518316,0.1406902958067199,0.21119395949534397,,,,,,,,,,
full_support,stave_b,B6,traditional,S02/S03/S04 atom robust-width baseline,3820,2.174971655947137,2.0562048259577246,1.196986056387738,2.3910801927774727,0.014921465968586388,7.249260013005334,0.23141361256544501,0.4746073298429319,0.451275879571555,0.47539267015706804,0.4633342748643115,1.9098157093995671,,,,,,,,,,
full_support,stave_b,B8,cnn1d,1D-CNN residual scale model,7640,0.7398906354991759,0.7304205938745518,1.4060372015977731,2.4384556966133033,0.012696335078534031,1.1641498923316067,0.48520942408376966,0.9163612565445026,0.19748006805323037,0.03363874345549733,0.12836045287478276,0.1309072891787793,,,,,,,,,,
full_support,stave_b,B8,gradient_boosted_trees,HistGradientBoosting residual scale model,7640,0.8084251712802923,0.7924126210292641,1.535396627809535,2.3430950398706782,0.014397905759162303,1.2008182951327528,0.5193717277486911,0.8598167539267015,0.16331776438830892,0.09018324607329842,0.12706464135645812,0.14534598673770457,,,,,,,,,,
full_support,stave_b,B8,mlp,MLP residual scale model,7640,0.7878397729734837,0.7321865602899535,1.6107914308667706,2.4298410414002687,0.013350785340314137,1.2417892173681317,0.5192408376963351,0.8596858638743455,0.16344865444066492,0.09031413612565442,0.1269337513041021,0.1556214398096383,,,,,,,,,,
full_support,stave_b,B8,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,7640,0.6997011128695428,0.6966760238004639,1.411435270846537,2.4170758604626434,0.011387434554973822,1.0441298056621449,0.6192408376963351,0.9471204188481676,0.06344865444066494,0.0028795811518324,0.05157386334790629,0.04050797615063712,,,,,,,,,,
full_support,stave_b,B8,ridge,Ridge residual scale model,7640,0.7792413373329987,0.688354154948783,1.5986335889314405,2.56950447179455,0.01767015706806283,1.2516159646419938,0.49829842931937174,0.8552356020942409,0.1843910628176283,0.09476439790575908,0.1395777303616937,0.16758728893176872,,,,,,,,,,
full_support,stave_b,B8,traditional,S02/S03/S04 atom robust-width baseline,7640,0.7787681831852584,0.6640459071032652,1.5144565425370073,2.6759705730838026,0.020418848167539267,2.0211657758511463,0.4617801047120419,0.7100785340314136,0.22090938742495814,0.23992146596858632,0.23041542669677223,0.4281030139853657,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1000,1500)",cnn1d,1D-CNN residual scale model,256,1.655272920824955,2.024012162720009,0.6722003659548632,2.9553336577512432,0.0078125,0.4013613912807553,0.421875,0.953125,0.26081449213700003,0.0031250000000000444,0.1708375054781719,0.25835390158360416,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1000,1500)",gradient_boosted_trees,HistGradientBoosting residual scale model,256,1.7533869099915786,2.0348996545925573,0.8516052908047049,2.9394507406202277,0.0078125,0.41309866910202697,0.515625,0.94140625,0.16706449213700003,0.008593749999999956,0.09837599606850003,0.21523389227586825,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1000,1500)",mlp,MLP residual scale model,256,1.8531836841482618,2.0251354041680476,1.0792514091428995,2.8219164022243945,0.0234375,0.49877362585848933,0.55859375,0.9375,0.12409574213700003,0.012499999999999956,0.12324190154516408,0.19026600445591868,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1000,1500)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,256,1.6864036281820338,2.0305244547178987,0.7132174964672557,3.033283526470041,0.015625,0.37220468565469705,0.61328125,0.953125,0.06940824213700003,0.0031250000000000444,0.10781278595483595,0.20203533560928477,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1000,1500)",ridge,Ridge residual scale model,256,1.6573870497866485,2.0039623126857755,1.0400312471636608,2.811701912300037,0.0078125,0.6018232243365756,0.484375,0.9375,0.19831449213700003,0.012499999999999956,0.1274781304781719,0.18411734956964906,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1000,1500)",traditional,S02/S03/S04 atom robust-width baseline,256,1.7713365467238522,2.2642547856428585,0.9439871224763401,2.955759084487598,0.0078125,7.264392032815385,0.14453125,0.27734375,0.538158242137,0.67265625,0.6054072460684999,2.0201534427552215,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1500,2500)",cnn1d,1D-CNN residual scale model,3901,1.5288165238328293,1.854021669342608,1.4682339823911263,2.041704733650396,0.007177646757241733,0.8161358469837202,0.4437323763137657,0.9510381953345296,0.2389571158232343,0.0010381953345296457,0.14306866301287327,0.14173203179672925,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1500,2500)",gradient_boosted_trees,HistGradientBoosting residual scale model,3901,1.593009455132567,1.9104348558070043,1.4585122378530961,2.029693586408321,0.007177646757241733,0.8133789727821503,0.5180722891566265,0.8995129453986157,0.16461720298037352,0.05048705460138425,0.1144862482474285,0.12905288326175898,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1500,2500)",mlp,MLP residual scale model,3901,1.571969043272264,1.8456631443557607,1.4936380398139202,2.1220236488255693,0.006921302230197385,0.8219318377383763,0.5357600615226865,0.8943860548577288,0.14692943061431352,0.05561394514227114,0.12328386594571175,0.12597385099098002,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1500,2500)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3901,1.5533326970651369,1.8732856369916109,1.4568266669153473,2.1192886808965667,0.0066649577031530375,0.7101341307956877,0.651115098692643,0.9720584465521661,0.031574393444357085,0.022058446552166155,0.05783523370404989,0.10033348572622136,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1500,2500)",ridge,Ridge residual scale model,3901,1.4208658640890313,1.6635406641127446,1.4650089274041704,2.1185509307164554,0.009741092027685208,0.8657194349112795,0.45552422455780567,0.8872084081004871,0.22716526757919436,0.06279159189951289,0.14550393601979456,0.1424353401468056,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[1500,2500)",traditional,S02/S03/S04 atom robust-width baseline,3901,1.3989156903781397,1.9306132685278783,1.3523381274574648,2.197581618932686,0.013586259933350423,4.531003643732604,0.36964880799794925,0.5834401435529352,0.3130406841390508,0.3665598564470648,0.33980027029305787,1.1376011136529443,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[2500,4000)",cnn1d,1D-CNN residual scale model,6811,1.0825518994238883,1.3606716065373377,1.5227072311788326,2.4171243921805536,0.011305241521068859,1.0735425464445212,0.4618998678608134,0.9323153721920423,0.22078962427618665,0.017684627807957654,0.1357178190386953,0.11193365439184019,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[2500,4000)",gradient_boosted_trees,HistGradientBoosting residual scale model,6811,1.0961628451101548,1.2384268280352655,1.6038494541741812,2.3226606084357386,0.015563059756276611,1.1633146743087632,0.4930259873733666,0.8540596094552929,0.18966350476363342,0.09594039054470704,0.14280194765417023,0.1479301293178185,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[2500,4000)",mlp,MLP residual scale model,6811,1.1004447801750155,1.2144522808966656,1.6839076595218971,2.3992054106477583,0.012920276024078697,1.1389357936690643,0.5062399060343562,0.8675671707531933,0.17644958610264383,0.08243282924680662,0.12975687350940443,0.1318937706319798,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[2500,4000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,6811,1.035898434783891,1.340973272222044,1.5243660509090184,2.360994789256294,0.009690207018059022,0.9652271102126928,0.6248715313463515,0.9581559242401997,0.05781796079064849,0.00815592424019973,0.04976777091320256,0.03762863643283949,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[2500,4000)",ridge,Ridge residual scale model,6811,1.0698790145854244,1.1549396463551247,1.6036406733414657,2.5129419395257515,0.014094846571722214,1.125964676406856,0.4947878431948319,0.8662457788870944,0.18790164894216815,0.08375422111290554,0.13582793502753687,0.13336212037236667,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[2500,4000)",traditional,S02/S03/S04 atom robust-width baseline,6811,1.0484281155841555,1.1984680969567163,1.561580351012349,2.6379571421248373,0.017178094259286448,2.044799762828156,0.4150638672735281,0.6868301277345471,0.2676256248634719,0.26316987226545285,0.2653977485644624,0.4602482521303858,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[4000,7000)",cnn1d,1D-CNN residual scale model,492,0.7980778666947249,0.26905565255910346,1.6406048563295186,4.085648641783582,0.07520325203252033,1.359447488640836,0.45528455284552843,0.8617886178861789,0.2274049392914716,0.08821138211382107,0.15780816070264636,0.2082179926871938,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[4000,7000)",gradient_boosted_trees,HistGradientBoosting residual scale model,492,0.6980250319780755,0.38913157746346627,1.733919268386987,3.369827197596924,0.07317073170731707,1.4279401517775576,0.5101626016260162,0.8130081300813008,0.1725268905109838,0.13699186991869916,0.15475938021484145,0.22305457310552051,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[4000,7000)",mlp,MLP residual scale model,492,0.8828097968801069,0.5226358862398293,1.987197997531456,3.9927468346517014,0.07520325203252033,1.4441457030521985,0.49390243902439024,0.8150406504065041,0.1887870531126098,0.13495934959349587,0.16187320135305286,0.23244132677783924,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[4000,7000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,492,0.8665800885872444,0.3307563542726619,1.6263803865343847,4.090115046909771,0.06300813008130081,1.1181301002533064,0.5873983739837398,0.9166666666666666,0.09529111815326019,0.033333333333333326,0.06817401436118294,0.07873214152527071,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[4000,7000)",ridge,Ridge residual scale model,492,2.105206173492419,1.4175460513911204,2.4168856420526734,4.736821107719291,0.11585365853658537,1.308184031848955,0.491869918699187,0.790650406504065,0.19081957343781303,0.15934959349593492,0.17508458346687394,0.20835944556239422,,,,,,,,,,
full_support,amplitude_bin,"amp_adc[4000,7000)",traditional,S02/S03/S04 atom robust-width baseline,492,2.4526513940718,1.6113911932347733,2.5544394749051538,4.917319702427411,0.09349593495934959,2.616681104173125,0.21544715447154472,0.4329268292682927,0.4672423376654553,0.5170731707317073,0.4921577541985813,0.7732885916922172,,,,,,,,,,
full_support,charge_bin,"charge[1000,4000)",cnn1d,1D-CNN residual scale model,60,1.3510703670191424,1.8308691371562702,1.2648210890297278,1.1589167834927008,0.0,0.8565568432238273,0.5166666666666667,0.9333333333333333,0.1660228254703333,0.016666666666666607,0.1514735143077667,0.11940154080523482,,,,,,,,,,
full_support,charge_bin,"charge[1000,4000)",gradient_boosted_trees,HistGradientBoosting residual scale model,60,2.2021718274993747,2.3851255123600836,1.824404528512562,1.8233838212941202,0.0,0.6752275670493921,0.45,0.8833333333333333,0.23268949213700002,0.06666666666666665,0.16967807940183335,0.19845166778902695,,,,,,,,,,
