method,event_id,pair,residual_ns
template_phase_base,65:659709:13573:234749,B4-B8,-7.330430115792311
template_phase_base,65:660196:14017:235236,B4-B8,-4.830430115792318
template_phase_base,65:660531:14330:235571,B4-B8,-3.8304301157923035
template_phase_base,65:660663:14455:235703,B4-B8,-2.8304301157923177
template_phase_base,65:660707:14496:235747,B4-B8,-0.33043011579231774
template_phase_base,65:662155:15837:237195,B4-B8,-4.830430115792318
template_phase_base,65:662241:15919:237281,B4-B8,-4.830430115792318
template_phase_base,65:662756:13:237796,B4-B8,-3.8304301157923035
template_phase_base,65:663859:1029:238899,B4-B8,-4.330430115792318
template_phase_base,65:664527:1645:239567,B4-B8,-2.8304301157923177
template_phase_base,65:664907:1997:239947,B4-B8,-3.8304301157923035
template_phase_base,65:665457:2517:240497,B4-B8,-3.8304301157923177
template_phase_base,65:665509:2565:240549,B4-B8,-3.8304301157923035
template_phase_base,65:665719:2794:240759,B4-B8,-5.830430115792318
template_phase_base,65:665814:2882:240854,B4-B8,-5.830430115792318
template_phase_base,65:666623:3632:241663,B4-B8,-6.830430115792318
template_phase_base,65:667306:4269:242346,B4-B8,-5.830430115792311
template_phase_base,65:668204:5102:243244,B4-B8,-3.3304301157923177
template_phase_base,65:669147:5974:244187,B4-B8,-4.330430115792318
template_phase_base,65:669345:6160:244385,B4-B8,-3.8304301157923035
template_phase_base,65:669500:6304:244540,B4-B8,-3.8304301157923177
template_phase_base,65:669969:6739:245009,B4-B8,-3.8304301157923035
template_phase_base,65:670593:7322:245633,B4-B8,-3.8304301157923035
template_phase_base,65:670708:7428:245748,B4-B8,-3.8304301157923177
template_phase_base,65:671756:8387:246796,B4-B8,-3.8304301157923177
template_phase_base,65:672239:8844:247279,B4-B8,-4.830430115792318
template_phase_base,65:672890:9443:247930,B4-B8,-3.8304301157923035
template_phase_base,65:674077:10572:249117,B4-B8,-6.330430115792318
template_phase_base,65:674255:10737:249295,B4-B8,-3.8304301157923106
template_phase_base,65:674617:11075:249657,B4-B8,-4.330430115792325
template_phase_base,65:674684:11140:249724,B4-B8,-5.830430115792318
template_phase_base,65:676071:12428:251111,B4-B8,-5.330430115792318
template_phase_base,65:677190:13474:252230,B4-B8,-8.33043011579231
template_phase_base,65:678223:14427:253263,B4-B8,-3.8304301157923035
template_phase_base,65:678819:14965:253859,B4-B8,-3.8304301157923177
template_phase_base,65:680356:6:255396,B4-B8,-2.3304301157923177
template_phase_base,65:681202:802:256242,B4-B8,-3.8304301157923177
template_phase_base,65:682284:1811:257324,B4-B8,-3.8304301157923035
template_phase_base,65:682664:2163:257704,B4-B8,-3.3304301157923106
template_phase_base,65:682740:2234:257780,B4-B8,-3.8304301157923035
template_phase_base,65:682871:2356:257911,B4-B8,-5.330430115792318
template_phase_base,65:683474:2923:258514,B4-B8,-3.8304301157923035
template_phase_base,65:683541:2987:258581,B4-B8,-3.8304301157923177
template_phase_base,65:684986:4332:260026,B4-B8,-6.330430115792318
template_phase_base,65:685607:4902:260647,B4-B8,-3.8304301157923177
template_phase_base,65:685699:4986:260739,B4-B8,-3.3304301157923106
template_phase_base,65:686924:6129:261964,B4-B8,-1.8304301157923177
template_phase_base,65:686970:6168:262010,B4-B8,-3.8304301157923035
template_phase_base,65:649169:4127:224209,B6-B8,0.7239377071844615
template_phase_base,65:650188:5110:225228,B6-B8,0.7239377071844615
template_phase_base,65:651341:6223:226381,B6-B8,0.22393770718445438
template_phase_base,65:651631:6497:226671,B6-B8,-2.2760622928155456
template_phase_base,65:651940:6301:226980,B6-B8,0.22393770718444728
template_phase_base,65:652313:6632:227353,B6-B8,-1.2760622928155385
template_phase_base,65:652429:6743:227469,B6-B8,0.7239377071844615
template_phase_base,65:652612:6917:227652,B6-B8,0.7239377071844615
template_phase_base,65:653933:8154:228973,B6-B8,0.7239377071844615
template_phase_base,65:654599:8777:229639,B6-B8,1.7239377071844544
template_phase_base,65:655258:9389:230298,B6-B8,1.2239377071844615
template_phase_base,65:655456:9566:230496,B6-B8,2.2239377071844473
template_phase_base,65:655741:9833:230781,B6-B8,1.2239377071844473
template_phase_base,65:656000:10073:231040,B6-B8,0.22393770718444728
template_phase_base,65:656462:10504:231502,B6-B8,0.7239377071844615
template_phase_base,65:657071:11070:232111,B6-B8,-1.7760622928155456
template_phase_base,65:657490:11464:232530,B6-B8,2.2239377071844615
template_phase_base,65:657989:11933:233029,B6-B8,-0.2760622928155456
template_phase_base,65:659709:13573:234749,B6-B8,0.7239377071844615
template_phase_base,65:660196:14017:235236,B6-B8,0.2239377071844615
template_phase_base,65:660531:14330:235571,B6-B8,0.7239377071844615
template_phase_base,65:660663:14455:235703,B6-B8,-0.2760622928155456
template_phase_base,65:660707:14496:235747,B6-B8,1.2239377071844615
template_phase_base,65:662155:15837:237195,B6-B8,0.2239377071844615
template_phase_base,65:662241:15919:237281,B6-B8,-2.2760622928155456
template_phase_base,65:662756:13:237796,B6-B8,0.7239377071844615
template_phase_base,65:663859:1029:238899,B6-B8,-0.2760622928155456
template_phase_base,65:664527:1645:239567,B6-B8,2.7239377071844615
template_phase_base,65:664907:1997:239947,B6-B8,0.7239377071844615
template_phase_base,65:665457:2517:240497,B6-B8,0.7239377071844544
template_phase_base,65:665509:2565:240549,B6-B8,0.7239377071844615
template_phase_base,65:665719:2794:240759,B6-B8,-1.2760622928155456
template_phase_base,65:665814:2882:240854,B6-B8,0.7239377071844615
template_phase_base,65:666623:3632:241663,B6-B8,0.2239377071844615
template_phase_base,65:667306:4269:242346,B6-B8,-1.7760622928155385
template_phase_base,65:668204:5102:243244,B6-B8,0.7239377071844473
template_phase_base,65:669147:5974:244187,B6-B8,1.7239377071844544
template_phase_base,65:669345:6160:244385,B6-B8,0.7239377071844615
template_phase_base,65:669500:6304:244540,B6-B8,0.7239377071844544
template_phase_base,65:669969:6739:245009,B6-B8,0.7239377071844615
template_phase_base,65:670593:7322:245633,B6-B8,0.7239377071844615
template_phase_base,65:670708:7428:245748,B6-B8,0.7239377071844544
template_phase_base,65:671756:8387:246796,B6-B8,0.7239377071844544
template_phase_base,65:672239:8844:247279,B6-B8,1.2239377071844544
template_phase_base,65:672890:9443:247930,B6-B8,0.7239377071844615
template_phase_base,65:674077:10572:249117,B6-B8,-2.2760622928155456
template_phase_base,65:674255:10737:249295,B6-B8,1.2239377071844615
template_phase_base,65:674617:11075:249657,B6-B8,-0.7760622928155527
template_phase_base,65:674684:11140:249724,B6-B8,-0.7760622928155385
template_phase_base,65:676071:12428:251111,B6-B8,-1.7760622928155456
template_phase_base,65:677190:13474:252230,B6-B8,-0.7760622928155314
template_phase_base,65:678223:14427:253263,B6-B8,0.7239377071844615
template_phase_base,65:678819:14965:253859,B6-B8,0.7239377071844544
template_phase_base,65:680356:6:255396,B6-B8,-0.2760622928155456
template_phase_base,65:681202:802:256242,B6-B8,0.7239377071844544
template_phase_base,65:682284:1811:257324,B6-B8,0.7239377071844615
template_phase_base,65:682664:2163:257704,B6-B8,0.22393770718445438
template_phase_base,65:682740:2234:257780,B6-B8,0.7239377071844615
template_phase_base,65:682871:2356:257911,B6-B8,0.22393770718444728
template_phase_base,65:683474:2923:258514,B6-B8,0.7239377071844615
