feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses,heldout_run
intercept,0.0,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_intercept,-86.04006202118387,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_log_amp,151.41565634968939,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_log_amp2,-79.15038951238641,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_inv_amp,-4.003068175850981,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_peak_sample,0.5412142266592331,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_area_over_amp,3.1950195347982344,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_template_sse,0.7869996680891168,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_intercept,43.96655896950133,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_log_amp,-73.42350086138198,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_log_amp2,22.900661959012208,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_inv_amp,-1.930799024650476,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_peak_sample,-0.7705191647567975,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_area_over_amp,-0.615486573228629,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_template_sse,0.30921051167607805,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_intercept,42.07349713347029,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_log_amp,-63.09801315404866,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_log_amp2,15.306211272230918,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_inv_amp,-2.8762378913438953,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_peak_sample,-0.6558633245058915,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_area_over_amp,-1.3604383382711969,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_template_sse,0.18602512114844735,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
intercept,0.0,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_intercept,-85.54488284100917,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_log_amp,151.034982089933,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
