heldout_run,method,pairwise_residual_ns
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-2.5918860564567723
58,template_phase_base,-6.091886056456794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-4.091886056456779
58,template_phase_base,-5.0918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564568007
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-5.091886056456801
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-13.591886056456794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-4.5918860564567865
58,template_phase_base,-4.091886056456779
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-7.091886056456779
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-5.0918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-4.591886056456779
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-4.091886056456794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.0918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-6.591886056456779
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-5.591886056456794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-5.091886056456779
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567794
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-6.091886056456779
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.5918860564567865
58,template_phase_base,-3.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990738
58,template_phase_base,-2.756619248990738
58,template_phase_base,-2.2566192489907237
58,template_phase_base,-4.256619248990724
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990738
58,template_phase_base,-2.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-2.756619248990738
58,template_phase_base,-2.756619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990759
58,template_phase_base,-4.256619248990745
58,template_phase_base,-15.756619248990752
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990724
58,template_phase_base,-4.256619248990738
58,template_phase_base,-3.756619248990731
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-2.756619248990731
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,-2.756619248990731
58,template_phase_base,-4.256619248990738
58,template_phase_base,-2.756619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-1.756619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.756619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-6.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990724
58,template_phase_base,-4.256619248990738
58,template_phase_base,-3.2566192489907237
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,-3.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-5.756619248990738
58,template_phase_base,-4.256619248990745
58,template_phase_base,-4.256619248990745
58,template_phase_base,0.3352668074660414
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,0.8352668074660485
58,template_phase_base,0.33526680746604853
58,template_phase_base,1.8352668074660698
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,1.8352668074660414
58,template_phase_base,0.8352668074660485
58,template_phase_base,0.8352668074660414
58,template_phase_base,0.8352668074660556
58,template_phase_base,-0.6647331925339586
58,template_phase_base,0.8352668074660414
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-2.1647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,0.33526680746604853
58,template_phase_base,-0.16473319253394436
58,template_phase_base,-0.6647331925339586
58,template_phase_base,3.3352668074660485
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,0.8352668074660556
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,2.3352668074660556
58,template_phase_base,-0.6647331925339586
58,template_phase_base,1.8352668074660414
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,2.3352668074660556
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-1.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,0.3352668074660414
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339373
58,template_phase_base,1.3352668074660556
58,template_phase_base,0.33526680746605564
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,1.8352668074660414
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
58,template_phase_base,0.3352668074660414
58,template_phase_base,-0.6647331925339586
58,template_phase_base,-0.6647331925339586
