feature,coefficient,train_pulses,heldout_pulses,method,base_method
intercept,0.0,11262,198,s16e_base_timewalk,template_phase
B4_intercept,80.09227928577263,11262,198,s16e_base_timewalk,template_phase
B4_log_amp,-233.31698745473264,11262,198,s16e_base_timewalk,template_phase
B4_log_amp2,118.5271011291462,11262,198,s16e_base_timewalk,template_phase
B4_inv_amp,-0.07224037754640722,11262,198,s16e_base_timewalk,template_phase
B4_peak_sample,0.5493810269463775,11262,198,s16e_base_timewalk,template_phase
B4_area_over_amp,-0.49412937589088235,11262,198,s16e_base_timewalk,template_phase
B4_template_sse,-0.33245239365216167,11262,198,s16e_base_timewalk,template_phase
B6_intercept,-29.071950099751017,11262,198,s16e_base_timewalk,template_phase
B6_log_amp,2.8855689480802944,11262,198,s16e_base_timewalk,template_phase
B6_log_amp2,-5.023565914475528,11262,198,s16e_base_timewalk,template_phase
B6_inv_amp,-0.8182601177413317,11262,198,s16e_base_timewalk,template_phase
B6_peak_sample,0.1987712541929028,11262,198,s16e_base_timewalk,template_phase
B6_area_over_amp,-0.06505663772373885,11262,198,s16e_base_timewalk,template_phase
B6_template_sse,-0.008832834953659555,11262,198,s16e_base_timewalk,template_phase
B8_intercept,-51.020329930157565,11262,198,s16e_base_timewalk,template_phase
B8_log_amp,51.726499771701334,11262,198,s16e_base_timewalk,template_phase
B8_log_amp2,-34.015777396178905,11262,198,s16e_base_timewalk,template_phase
B8_inv_amp,-1.0341780802035898,11262,198,s16e_base_timewalk,template_phase
B8_peak_sample,0.7250811091346451,11262,198,s16e_base_timewalk,template_phase
B8_area_over_amp,1.1516563964336335,11262,198,s16e_base_timewalk,template_phase
B8_template_sse,0.24737859971224185,11262,198,s16e_base_timewalk,template_phase
